gene,log2FoldChange
Montipora_capitata_HIv3___RNAseq.g44754.t1,-9.13106118780066
Montipora_capitata_HIv3___TS.g7221.t1,-14.5884664986805
Montipora_capitata_HIv3___RNAseq.g30833.t1,3.85897344203965
Montipora_capitata_HIv3___TS.g5814.t1,4.89279863853756
Montipora_capitata_HIv3___RNAseq.g23762.t1,4.73618165405495
Montipora_capitata_HIv3___TS.g44069.t1,-6.25539398814331
Montipora_capitata_HIv3___RNAseq.g17872.t1,-6.09571753863973
Montipora_capitata_HIv3___RNAseq.g5395.t1,1.76294232964927
Montipora_capitata_HIv3___TS.g7658.t1,-9.53160043699248
Montipora_capitata_HIv3___TS.g28328.t1,-3.3428698285775
Montipora_capitata_HIv3___TS.g23246.t1,-1.65047809156858
Montipora_capitata_HIv3___RNAseq.g8395.t2b,7.40376433273996
Montipora_capitata_HIv3___RNAseq.g29213.t1,-1.89161952297166
Montipora_capitata_HIv3___TS.g26916.t2,1.53362117278946
Montipora_capitata_HIv3___TS.g19595.t1,-5.20290822659924
Montipora_capitata_HIv3___RNAseq.g18203.t1,8.46679562367015
Montipora_capitata_HIv3___RNAseq.g43228.t1a,-1.43911767723894
Montipora_capitata_HIv3___RNAseq.g38673.t1,8.51015539008481
Montipora_capitata_HIv3___RNAseq.g22865.t1,2.75596440023958
Montipora_capitata_HIv3___RNAseq.g46820.t1,8.46976827192742
Montipora_capitata_HIv3___RNAseq.g16878.t1,6.18252169255226
Montipora_capitata_HIv3___RNAseq.g35299.t1,-8.06569670046222
Montipora_capitata_HIv3___RNAseq.g29906.t1,8.8837249427462
Montipora_capitata_HIv3___RNAseq.g15566.t1,8.51481064119074
Montipora_capitata_HIv3___RNAseq.g38222.t1,4.94857251954737
Montipora_capitata_HIv3___RNAseq.g38223.t1,3.03319339176705
Montipora_capitata_HIv3___RNAseq.g49570.t1,9.34408832112532
Montipora_capitata_HIv3___RNAseq.g19835.t1d,3.57958535791715
Montipora_capitata_HIv3___RNAseq.g29220.t1,5.60142175481429
Montipora_capitata_HIv3___RNAseq.g15886.t1,3.13295672139983
Montipora_capitata_HIv3___RNAseq.g29153.t1,8.51230536881696
Montipora_capitata_HIv3___RNAseq.g41637.t1,-4.39914935676723
Montipora_capitata_HIv3___RNAseq.g24510.t1,-1.76542207946028
Montipora_capitata_HIv3___RNAseq.g26022.t1,2.61797380714483
Montipora_capitata_HIv3___TS.g42432.t1,-8.37513147609509
Montipora_capitata_HIv3___RNAseq.g14946.t1,-2.27798086387421
Montipora_capitata_HIv3___TS.g35066.t1,6.87562165428479
Montipora_capitata_HIv3___RNAseq.g38221.t1,8.3646220250624
Montipora_capitata_HIv3___RNAseq.g20959.t1,-7.4933637610055
Montipora_capitata_HIv3___RNAseq.g50373.t3,-6.8392302948545
Montipora_capitata_HIv3___RNAseq.g2569.t1,-1.36953296208958
Montipora_capitata_HIv3___RNAseq.g23733.t1,2.82713659838343
Montipora_capitata_HIv3___RNAseq.g11548.t1,2.68698313573037
Montipora_capitata_HIv3___RNAseq.g4221.t1,8.21864845188095
Montipora_capitata_HIv3___RNAseq.g16461.t1,9.75826555564408
Montipora_capitata_HIv3___RNAseq.g28726.t1,5.8012657889622
Montipora_capitata_HIv3___RNAseq.g6907.t1,6.24234628729851
Montipora_capitata_HIv3___RNAseq.g7741.t1,5.88869940334293
Montipora_capitata_HIv3___TS.g29616.t1,5.20465839048183
Montipora_capitata_HIv3___RNAseq.g34765.t1,7.91472994825234
Montipora_capitata_HIv3___TS.g14199.t1,-8.34652274534024
Montipora_capitata_HIv3___RNAseq.g8322.t1,-6.86582856122144
Montipora_capitata_HIv3___RNAseq.g45046.t1,8.00014745961958
Montipora_capitata_HIv3___RNAseq.g11648.t1,8.00153206211391
Montipora_capitata_HIv3___RNAseq.g7739.t1,1.6719232250692
Montipora_capitata_HIv3___RNAseq.g18955.t1,-1.52563283787902
Montipora_capitata_HIv3___RNAseq.g15650.t1a,4.58359943822423
Montipora_capitata_HIv3___RNAseq.g46469.t1,-7.92932314867941
Montipora_capitata_HIv3___RNAseq.g14772.t1,8.18673141225067
Montipora_capitata_HIv3___TS.g15341.t1,7.32648784065671
Montipora_capitata_HIv3___RNAseq.g26615.t1,-8.02527742383679
Montipora_capitata_HIv3___RNAseq.g1392.t1,7.76544784600308
Montipora_capitata_HIv3___RNAseq.g33991.t1,6.188932320891
Montipora_capitata_HIv3___RNAseq.g29822.t1,-5.51665561507216
Montipora_capitata_HIv3___TS.g41895.t1,-3.44960131408534
Montipora_capitata_HIv3___RNAseq.g26580.t1,8.24341557902162
Montipora_capitata_HIv3___RNAseq.g21284.t1,-5.90420319805185
Montipora_capitata_HIv3___TS.g12075.t1,4.08996708892607
Montipora_capitata_HIv3___RNAseq.g31229.t1,-2.80544311470108
Montipora_capitata_HIv3___RNAseq.g8836.t1,-1.65287375752799
Montipora_capitata_HIv3___RNAseq.g33966.t1,3.78284556121568
Montipora_capitata_HIv3___RNAseq.g2640.t1a,2.73735257016278
Montipora_capitata_HIv3___RNAseq.g23752.t1,6.73958656610669
Montipora_capitata_HIv3___RNAseq.g24511.t1,-1.95342638515822
Montipora_capitata_HIv3___RNAseq.g23657.t1,-8.47789267151437
Montipora_capitata_HIv3___RNAseq.g32219.t1,-6.68085909898966
Montipora_capitata_HIv3___RNAseq.g3246.t1,-4.14377720934422
Montipora_capitata_HIv3___RNAseq.g8869.t1,-8.10987403220545
Montipora_capitata_HIv3___RNAseq.g50386.t1,-8.00164621894138
Montipora_capitata_HIv3___RNAseq.g25541.t2,4.08419360652474
Montipora_capitata_HIv3___TS.g44066.t2c,1.93107909194518
Montipora_capitata_HIv3___RNAseq.g16474.t1,1.18650791056724
Montipora_capitata_HIv3___TS.g44077.t1,-5.55697847486259
Montipora_capitata_HIv3___RNAseq.g39917.t1,1.8679797321463
Montipora_capitata_HIv3___TS.g5595.t1,4.39295621448468
Montipora_capitata_HIv3___RNAseq.g33457.t1,-1.47686900549949
Montipora_capitata_HIv3___TS.g16502.t1,-3.01451760812052
Montipora_capitata_HIv3___RNAseq.g42365.t1,8.85964105049497
Montipora_capitata_HIv3___RNAseq.g39535.t1,4.64894582141953
Montipora_capitata_HIv3___RNAseq.g36836.t1,1.10867613371341
Montipora_capitata_HIv3___RNAseq.g6602.t1,-9.40889365447628
Montipora_capitata_HIv3___RNAseq.g22618.t1,-4.52534908086955
Montipora_capitata_HIv3___TS.g48039.t2,-1.24862935424731
Montipora_capitata_HIv3___RNAseq.g13558.t1,0.968846960190458
Montipora_capitata_HIv3___RNAseq.g49357.t1,-2.3709682833194
Montipora_capitata_HIv3___RNAseq.g30839.t1,3.8807536914344
Montipora_capitata_HIv3___RNAseq.g35897.t1,4.90871328739787
Montipora_capitata_HIv3___RNAseq.g9192.t1,-1.3288793916637
Montipora_capitata_HIv3___RNAseq.g27546.t1,7.53036748295685
Montipora_capitata_HIv3___TS.g27540.t1,3.58422787088954
Montipora_capitata_HIv3___RNAseq.g45051.t1,-2.30758443772337
Montipora_capitata_HIv3___RNAseq.g24730.t1,1.29542707540719
Montipora_capitata_HIv3___RNAseq.g41387.t1,-4.39413049370621
Montipora_capitata_HIv3___RNAseq.g466.t1a,-4.26290030664444
Montipora_capitata_HIv3___RNAseq.g24139.t1,1.15932081870911
Montipora_capitata_HIv3___RNAseq.g36707.t1,-1.96228154377997
Montipora_capitata_HIv3___RNAseq.g12807.t1,-2.10906807832782
Montipora_capitata_HIv3___RNAseq.g15052.t1,1.29450558280383
Montipora_capitata_HIv3___RNAseq.g34092.t1,-2.67489280505967
Montipora_capitata_HIv3___RNAseq.g41114.t1,-4.3105330387721
Montipora_capitata_HIv3___RNAseq.g31299.t1,-1.45578936865349
Montipora_capitata_HIv3___RNAseq.g3284.t1,-4.40543457423031
Montipora_capitata_HIv3___RNAseq.g40217.t1,6.083940123849
Montipora_capitata_HIv3___RNAseq.g22626.t1,-4.75374978612149
Montipora_capitata_HIv3___RNAseq.g13680.t1,-7.60717853508944
Montipora_capitata_HIv3___RNAseq.g13092.t1,3.10048572654223
Montipora_capitata_HIv3___TS.g9947.t1,-4.93011940929446
Montipora_capitata_HIv3___RNAseq.g29402.t1,1.22020161828045
Montipora_capitata_HIv3___RNAseq.g44519.t1,-3.91379408992373
Montipora_capitata_HIv3___TS.g45113.t1,-3.26252807084163
Montipora_capitata_HIv3___RNAseq.g26900.t1,2.70012644832884
Montipora_capitata_HIv3___RNAseq.g26933.t1,2.86817585746461
Montipora_capitata_HIv3___RNAseq.g46819.t1,6.84025709046346
Montipora_capitata_HIv3___RNAseq.g30901.t1,-4.44104823441976
Montipora_capitata_HIv3___RNAseq.g9263.t1,-7.34676148149678
Montipora_capitata_HIv3___RNAseq.g12596.t1,2.59259216653464
Montipora_capitata_HIv3___TS.g32687.t1,-1.86041359830512
Montipora_capitata_HIv3___RNAseq.g37557.t1,8.54605335260628
Montipora_capitata_HIv3___TS.g21221.t2,-1.1553804375253
Montipora_capitata_HIv3___RNAseq.g50691.t1,-6.05748757366162
Montipora_capitata_HIv3___RNAseq.g11237.t1,3.73905449886503
Montipora_capitata_HIv3___TS.g40634.t1,-1.37383156537903
Montipora_capitata_HIv3___RNAseq.g19823.t1,2.77762347863756
Montipora_capitata_HIv3___RNAseq.g45306.t1,-3.17546706777152
Montipora_capitata_HIv3___RNAseq.g3374.t1,-1.05019948485144
Montipora_capitata_HIv3___RNAseq.g422.t1,3.35302846609456
Montipora_capitata_HIv3___RNAseq.g42152.t1,1.3405088442875
Montipora_capitata_HIv3___RNAseq.g44960.t2,7.13342146945273
Montipora_capitata_HIv3___RNAseq.g14511.t1,3.45497833584382
Montipora_capitata_HIv3___TS.g32048.t1,5.18438383973494
Montipora_capitata_HIv3___TS.g45925.t1,-4.4518326157222
Montipora_capitata_HIv3___RNAseq.g28101.t1,-2.10646296811154
Montipora_capitata_HIv3___TS.g7322.t1,-1.23927502182943
Montipora_capitata_HIv3___RNAseq.g40065.t1,-7.54644888074126
Montipora_capitata_HIv3___RNAseq.g8859.t1,6.74613263575969
Montipora_capitata_HIv3___RNAseq.g40983.t1,2.07187674628303
Montipora_capitata_HIv3___TS.g26873.t1,-2.44331897253634
Montipora_capitata_HIv3___RNAseq.21467_t,3.26556468601468
Montipora_capitata_HIv3___RNAseq.g2539.t1,1.33057127129679
Montipora_capitata_HIv3___RNAseq.g24836.t1,7.33605007221599
Montipora_capitata_HIv3___RNAseq.g18899.t1c,5.66257681652786
Montipora_capitata_HIv3___RNAseq.g23618.t1,-2.36278692439325
Montipora_capitata_HIv3___RNAseq.g53.t1,-7.1842164708674
Montipora_capitata_HIv3___RNAseq.g13129.t1,-4.00747598112067
Montipora_capitata_HIv3___TS.g3940.t1,1.4700996478808
Montipora_capitata_HIv3___TS.g28995.t1,4.08649688747792
Montipora_capitata_HIv3___RNAseq.g8230.t1,4.28936534233299
Montipora_capitata_HIv3___RNAseq.g24858.t1,1.30883724104848
Montipora_capitata_HIv3___RNAseq.g46377.t1,5.30545027658745
Montipora_capitata_HIv3___RNAseq.g36574.t1,-6.07035496778304
Montipora_capitata_HIv3___RNAseq.g47210.t1,-5.11718092643497
Montipora_capitata_HIv3___RNAseq.g10510.t1,5.27016440087977
Montipora_capitata_HIv3___RNAseq.g8858.t1,6.93972602089186
Montipora_capitata_HIv3___RNAseq.g9026.t1,1.61928375886977
Montipora_capitata_HIv3___TS.g1054.t1,1.05889054316439
Montipora_capitata_HIv3___RNAseq.g47205.t1,-0.830542681746026
Montipora_capitata_HIv3___RNAseq.g11883.t1,1.75182893028981
Montipora_capitata_HIv3___RNAseq.g40061.t1,-6.60086781605339
Montipora_capitata_HIv3___RNAseq.g5439.t1,-2.97714712551088
Montipora_capitata_HIv3___RNAseq.g4151.t1,6.64139594826855
Montipora_capitata_HIv3___TS.g11004.t1,-5.80915266075931
Montipora_capitata_HIv3___RNAseq.g14145.t1,-7.56848557706881
Montipora_capitata_HIv3___RNAseq.g40082.t1,-2.45267620003241
Montipora_capitata_HIv3___RNAseq.g2152.t1,-1.07180303704987
Montipora_capitata_HIv3___RNAseq.g3698.t1,-2.31380442795351
Montipora_capitata_HIv3___RNAseq.g19570.t1,-1.63839470802929
Montipora_capitata_HIv3___TS.g28497.t1,-1.50241155189698
Montipora_capitata_HIv3___RNAseq.g30640.t1,3.77244535537456
Montipora_capitata_HIv3___RNAseq.g2355.t1,5.51922637026801
Montipora_capitata_HIv3___RNAseq.g30915.t1,3.66413769654168
Montipora_capitata_HIv3___RNAseq.g44497.t1,-2.20800692069282
Montipora_capitata_HIv3___RNAseq.g15915.t1,-2.78819495546635
Montipora_capitata_HIv3___RNAseq.g10729.t1,6.91929220613583
Montipora_capitata_HIv3___RNAseq.g8123.t1,6.64885855829538
Montipora_capitata_HIv3___RNAseq.g41630.t1,-8.81879232619187
Montipora_capitata_HIv3___RNAseq.g43081.t1,6.96734383426667
Montipora_capitata_HIv3___RNAseq.g22588.t1,-0.887939346392994
Montipora_capitata_HIv3___RNAseq.g19793.t1,6.28783945766881
Montipora_capitata_HIv3___TS.g23676.t1,4.53767637357734
Montipora_capitata_HIv3___RNAseq.g178.t1,-3.72634387842625
Montipora_capitata_HIv3___RNAseq.g14568.t1,4.949151021054
Montipora_capitata_HIv3___RNAseq.g4962.t1,-6.41201068206107
Montipora_capitata_HIv3___RNAseq.g40089.t1,-4.2626259059285
Montipora_capitata_HIv3___RNAseq.g12062.t1,2.99502023572121
Montipora_capitata_HIv3___RNAseq.g16637.t1,-3.57888365070007
Montipora_capitata_HIv3___TS.g18509.t1,1.21939891535212
Montipora_capitata_HIv3___RNAseq.g37193.t1,1.18419298172819
Montipora_capitata_HIv3___RNAseq.g29879.t1b,1.40163610389666
Montipora_capitata_HIv3___TS.g9833.t1,1.50700950839489
Montipora_capitata_HIv3___RNAseq.g42608.t1,-0.668757566402412
Montipora_capitata_HIv3___RNAseq.g39887.t1,-0.992987293105619
Montipora_capitata_HIv3___RNAseq.g14143.t1,-6.9028739133975
Montipora_capitata_HIv3___RNAseq.g12736.t1,-0.845409263051556
Montipora_capitata_HIv3___RNAseq.g24945.t1,-1.10690919243954
Montipora_capitata_HIv3___RNAseq.g8395.t2c,2.71954261957867
Montipora_capitata_HIv3___RNAseq.g42281.t1,-0.967711791996351
Montipora_capitata_HIv3___RNAseq.g27719.t1,-1.01327400936636
Montipora_capitata_HIv3___RNAseq.g6560.t1,-7.2388659126973
Montipora_capitata_HIv3___RNAseq.g50598.t1,-4.24893583656731
Montipora_capitata_HIv3___RNAseq.g14350.t1,6.88482307794969
Montipora_capitata_HIv3___RNAseq.g35718.t1,4.83033278851567
Montipora_capitata_HIv3___RNAseq.g9783.t1,-3.74187094344169
Montipora_capitata_HIv3___RNAseq.g33992.t1,1.66904964398617
Montipora_capitata_HIv3___TS.g40937.t3b,0.944417935586392
Montipora_capitata_HIv3___TS.g41615.t1,-3.12436024120987
Montipora_capitata_HIv3___RNAseq.g6475.t1,2.12742972594491
Montipora_capitata_HIv3___RNAseq.g38848.t1,4.89911825245589
Montipora_capitata_HIv3___TS.g4543.t1,1.07531912688759
Montipora_capitata_HIv3___RNAseq.g27709.t1,2.89106119278926
Montipora_capitata_HIv3___RNAseq.g7802.t1,1.86431523834067
Montipora_capitata_HIv3___RNAseq.g6712.t1,-5.35851120367989
Montipora_capitata_HIv3___RNAseq.g7049.t1,3.24755878595754
Montipora_capitata_HIv3___RNAseq.g45777.t1,5.25186881267248
Montipora_capitata_HIv3___RNAseq.g39648.t1,2.10847732229048
Montipora_capitata_HIv3___RNAseq.g44539.t1,-0.656780312035111
Montipora_capitata_HIv3___RNAseq.g3112.t1,-1.30308709292623
Montipora_capitata_HIv3___RNAseq.g49895.t2,0.876514311141809
Montipora_capitata_HIv3___RNAseq.g35091.t1,-1.39434469125399
Montipora_capitata_HIv3___TS.g30192.t1,3.73172006702136
Montipora_capitata_HIv3___RNAseq.g29792.t1,-4.59256909869091
Montipora_capitata_HIv3___RNAseq.g403.t1,-0.80045570495267
Montipora_capitata_HIv3___TS.g50346.t1b,0.983497882065332
Montipora_capitata_HIv3___TS.g39186.t1,-4.24321621159028
Montipora_capitata_HIv3___RNAseq.g45361.t1,-0.782719873143718
Montipora_capitata_HIv3___RNAseq.g26595.t1,1.05612485095723
Montipora_capitata_HIv3___RNAseq.g3908.t1,3.32281639606937
Montipora_capitata_HIv3___RNAseq.g19982.t1a,-2.95730252980975
Montipora_capitata_HIv3___RNAseq.g4625.t1,1.90828362822141
Montipora_capitata_HIv3___RNAseq.g49548.t1b,1.3814247455365
Montipora_capitata_HIv3___RNAseq.g2567.t1,-1.60552980610905
Montipora_capitata_HIv3___RNAseq.g24524.t1,-0.968056173368245
Montipora_capitata_HIv3___RNAseq.g27716.t1,-2.0344873223246
Montipora_capitata_HIv3___RNAseq.g15404.t1,-6.20054578603144
Montipora_capitata_HIv3___RNAseq.g13857.t1,-0.928711835056934
Montipora_capitata_HIv3___RNAseq.g19123.t1,4.00781217416194
Montipora_capitata_HIv3___RNAseq.g12285.t1,1.57634716892561
Montipora_capitata_HIv3___RNAseq.g36907.t1,2.88878730257899
Montipora_capitata_HIv3___TS.g32206.t1,6.50687834841501
Montipora_capitata_HIv3___RNAseq.g22943.t1,-2.19567156420552
Montipora_capitata_HIv3___RNAseq.g30609.t1,-1.59936303603471
Montipora_capitata_HIv3___RNAseq.g45527.t1,1.06431273898718
Montipora_capitata_HIv3___RNAseq.g35333.t1,1.58826627784499
Montipora_capitata_HIv3___TS.g48036.t1,4.11399996341515
Montipora_capitata_HIv3___RNAseq.g35008.t1,1.65190650316615
Montipora_capitata_HIv3___RNAseq.g668.t1,-5.1602439434377
Montipora_capitata_HIv3___RNAseq.g45041.t1,-2.66429110321622
Montipora_capitata_HIv3___RNAseq.g9808.t1,6.11545830395173
Montipora_capitata_HIv3___RNAseq.g20224.t1,3.08771111751695
Montipora_capitata_HIv3___RNAseq.g29468.t1,-0.666172438351148
Montipora_capitata_HIv3___RNAseq.g27720.t1,-1.26537194589507
Montipora_capitata_HIv3___RNAseq.g19432.t1,1.09190294679355
Montipora_capitata_HIv3___RNAseq.g15221.t1,2.11074792294847
Montipora_capitata_HIv3___RNAseq.g32807.t1,1.75046570453713
Montipora_capitata_HIv3___RNAseq.g40982.t1a,0.848444428927988
Montipora_capitata_HIv3___RNAseq.g19167.t1,1.26000042473222
Montipora_capitata_HIv3___RNAseq.g20766.t1,-0.887462946291444
Montipora_capitata_HIv3___RNAseq.g4930.t1,6.07110529627082
Montipora_capitata_HIv3___TS.g1164.t1,7.22449838428292
Montipora_capitata_HIv3___RNAseq.g26955.t1,-4.22264692388207
Montipora_capitata_HIv3___RNAseq.g46378.t1,1.29716369772672
Montipora_capitata_HIv3___RNAseq.g10292.t1,2.44593106098523
Montipora_capitata_HIv3___TS.g1676.t1,4.96312793403313
Montipora_capitata_HIv3___RNAseq.g9995.t1,-3.90051495097402
Montipora_capitata_HIv3___RNAseq.g14363.t1,-6.74529269087362
Montipora_capitata_HIv3___RNAseq.g44562.t1,-4.0205966750413
Montipora_capitata_HIv3___TS.g46166.t1,-1.51249060285064
Montipora_capitata_HIv3___RNAseq.g14947.t1,2.47683257471402
Montipora_capitata_HIv3___TS.g32424.t1,1.39158247509214
Montipora_capitata_HIv3___RNAseq.g40062.t1,-6.82694373713748
Montipora_capitata_HIv3___RNAseq.g39922.t1,0.815554347257228
Montipora_capitata_HIv3___RNAseq.g18312.t1,3.58815030432363
Montipora_capitata_HIv3___TS.g28822.t2,0.979506028709115
Montipora_capitata_HIv3___RNAseq.g14643.t1,6.58977643660428
Montipora_capitata_HIv3___RNAseq.g24942.t1,0.566891474426571
Montipora_capitata_HIv3___RNAseq.g18979.t1,-1.79052096207246
Montipora_capitata_HIv3___RNAseq.g24095.t1,-3.47219408889022
Montipora_capitata_HIv3___RNAseq.g34294.t1,4.69208537346924
Montipora_capitata_HIv3___RNAseq.g36794.t1,-6.65002471125156
Montipora_capitata_HIv3___RNAseq.g45326.t1,2.36193534296148
Montipora_capitata_HIv3___RNAseq.g24514.t1,-4.04504317605194
Montipora_capitata_HIv3___RNAseq.g34888.t1,-3.14784149881705
Montipora_capitata_HIv3___RNAseq.g44814.t1,0.52106643106324
Montipora_capitata_HIv3___TS.g46118.t1,-1.22003471991186
Montipora_capitata_HIv3___RNAseq.g30913.t1,1.66432097848091
Montipora_capitata_HIv3___RNAseq.g20250.t1,0.484846458493336
Montipora_capitata_HIv3___TS.g36774.t2,-0.898400511863927
Montipora_capitata_HIv3___TS.g14155.t1,1.70741582939748
Montipora_capitata_HIv3___RNAseq.262_t,2.80859046895522
Montipora_capitata_HIv3___RNAseq.g35720.t1,4.20335564300865
Montipora_capitata_HIv3___RNAseq.g8250.t1b,2.26908604551149
Montipora_capitata_HIv3___RNAseq.g3719.t1,-6.04573999967703
Montipora_capitata_HIv3___RNAseq.g16335.t1,3.07220805177917
Montipora_capitata_HIv3___RNAseq.g33022.t1,5.95824397199831
Montipora_capitata_HIv3___RNAseq.g43827.t1,1.01190298803275
Montipora_capitata_HIv3___TS.g46883.t1,-2.37143321368886
Montipora_capitata_HIv3___RNAseq.g6055.t1,2.92242805271372
Montipora_capitata_HIv3___TS.g10096.t1,-3.09679104371231
Montipora_capitata_HIv3___RNAseq.g45048.t1,4.67247834826421
Montipora_capitata_HIv3___RNAseq.g45677.t1,3.91980615328836
