Geneid	1AS	1AW	1BS	1BW	1CS	1CW	1DS	1DW	2AS	2AW	2BS	2BW	2CS	2CW	2DS	2DW	3AS	3AW	3BS	3BW	3CS	3CW	3DS	3DW
evm.model.scf7180000350470.1	76	495	164	0	0	0	0	0	1293	0	0	0	0	790	0	0	0	0	0	0	0	0	12	0
evm.model.scf7180000355705.6	28	164	47	0	0	0	0	0	279	0	0	0	0	131	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000355705.1	85	732	168	0	0	0	0	0	1245	0	0	0	2	1093	0	0	0	0	0	0	0	0	15	0
evm.model.scf7180000355705.8	65	355	145	0	0	0	0	0	779	0	0	0	1	338	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000355705.7	20	177	55	0	0	0	0	0	467	0	0	0	0	296	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000355705.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.24	109	643	171	0	0	0	0	0	1270	0	0	0	0	682	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000355705.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.9	33	185	57	0	0	0	0	0	617	0	0	0	0	189	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000355705.17	84	1024	196	0	0	0	0	0	1392	0	0	0	0	673	0	0	0	0	0	0	0	0	20	0
evm.model.scf7180000355705.22	155	1229	319	0	0	0	0	0	2703	0	0	0	0	1408	0	0	0	0	0	0	0	0	21	0
evm.model.scf7180000355705.25	3	7	4	0	0	0	0	0	26	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.13	88	499	136	0	0	0	0	0	1185	0	0	0	0	673	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000355705.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.4	3	36	16	0	0	0	0	0	110	0	0	0	0	19	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000355705.19	1239	7929	2038	0	0	0	0	0	18921	0	0	0	2	11297	0	0	0	0	0	1	0	0	193	0
evm.model.scf7180000355705.27	242	1875	394	0	0	0	0	0	3213	0	0	0	0	2231	0	0	0	0	0	0	0	0	42	0
evm.model.scf7180000355705.16	26	250	62	0	0	0	0	0	745	0	0	0	0	274	0	0	0	0	0	0	0	0	10	0
evm.model.scf7180000355705.3	15	189	58	0	0	0	0	0	347	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0
