Geneid	1AS	1AW	1BS	1BW	1CS	1CW	1DS	1DW	2AS	2AW	2BS	2BW	2CS	2CW	2DS	2DW	3AS	3AW	3BS	3BW	3CS	3CW	3DS	3DW
evm.model.scf7180000350470.1	75	457	145	0	0	0	0	0	1176	0	0	0	0	720	0	0	0	0	0	0	0	0	12	0
evm.model.scf7180000355705.6	22	146	45	0	0	0	0	0	263	0	0	0	0	122	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000355705.1	79	706	165	0	0	0	0	0	1213	0	0	0	2	1060	0	0	0	0	0	0	0	0	14	0
evm.model.scf7180000355705.8	39	256	124	0	0	0	0	0	576	0	0	0	1	256	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000355705.7	10	84	25	0	0	0	0	0	219	0	0	0	0	138	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000355705.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.24	95	570	157	0	0	0	0	0	1154	0	0	0	0	620	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000355705.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.9	32	174	55	0	0	0	0	0	575	0	0	0	0	176	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000355705.17	83	928	192	0	0	0	0	0	1329	0	0	0	0	617	0	0	0	0	0	0	0	0	20	0
evm.model.scf7180000355705.22	137	1174	302	0	0	0	0	0	2558	0	0	0	0	1332	0	0	0	0	0	0	0	0	17	0
evm.model.scf7180000355705.25	3	7	4	0	0	0	0	0	25	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.13	85	469	125	0	0	0	0	0	1104	0	0	0	0	630	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000355705.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.4	3	34	16	0	0	0	0	0	100	0	0	0	0	18	0	0	0	0	0	0	0	0	4	0
evm.model.scf7180000355705.19	1239	7928	2029	0	0	0	0	0	18918	0	0	0	2	11294	0	0	0	0	0	1	0	0	193	0
evm.model.scf7180000355705.27	229	1786	373	0	0	0	0	0	3058	0	0	0	0	2136	0	0	0	0	0	0	0	0	37	0
evm.model.scf7180000355705.16	25	232	59	0	0	0	0	0	686	0	0	0	0	255	0	0	0	0	0	0	0	0	8	0
evm.model.scf7180000355705.3	15	178	56	0	0	0	0	0	326	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.28	42	222	46	0	0	0	0	0	461	0	0	0	0	298	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000355705.32	39	250	59	0	0	0	0	0	659	0	0	0	0	404	0	0	0	0	0	0	0	0	7	0
evm.model.scf7180000355705.37	344	1979	321	0	0	0	0	0	2298	0	0	0	2	4004	0	0	0	0	0	0	0	0	44	0
evm.model.scf7180000355705.10	10	87	24	0	0	0	0	0	212	0	0	0	0	60	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000355705.11	245	1449	437	0	0	0	0	0	3123	0	0	0	0	1874	0	0	0	0	0	0	0	0	34	0
evm.model.scf7180000355705.31	75	597	160	0	0	0	0	0	1097	0	0	0	0	758	0	0	0	0	0	0	0	0	16	0
evm.model.scf7180000355705.5	17	85	16	0	0	0	0	0	228	0	0	0	0	118	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000355705.2	2	72	39	0	0	0	0	0	224	0	0	0	0	49	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000355705.12	2	30	5	0	0	0	0	0	44	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355705.15	186	1228	301	0	0	0	0	0	2567	0	0	0	0	1537	0	0	0	0	0	0	0	0	23	0
evm.model.scf7180000355705.26	15	60	22	0	0	0	0	0	165	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345752.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345752.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345752.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355120.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355120.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355120.1	5	96	42	0	0	0	0	0	340	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355120.2	50	358	129	0	0	0	0	0	807	0	0	0	0	410	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000355120.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000350437.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355726.3	18	152	42	0	0	0	0	0	288	0	0	0	0	233	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000355726.1	9	25	12	0	0	0	0	0	73	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355726.2	7	49	16	0	0	0	0	0	99	0	0	0	0	44	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000355330.4	13	48	9	0	0	0	0	0	85	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355330.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356187.1	10	97	40	0	0	0	0	0	246	0	0	0	0	106	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000353481.2	101	724	241	0	0	0	0	0	1617	0	0	0	0	1081	0	0	0	0	0	0	0	0	9	0
evm.model.scf7180000353481.11	1	16	5	0	0	0	0	0	43	0	0	0	0	21	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000353481.17	62	197	94	0	0	0	0	0	866	0	0	0	0	309	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000353481.24	38	172	72	0	0	0	0	0	441	0	0	0	0	121	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000353481.18	21	194	51	0	0	0	0	0	267	0	0	0	0	238	0	0	0	0	0	0	0	0	1	0
