Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1DS_R1	1DS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49208380.0	7.3 Gbp	0.0	50-150	47.0	85.75243591266437	148.54865752540522	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
1DS_R1_001	1DS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50195192.0	7.5 Gbp	0.0	150.0	47.0	85.51698317619002	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
1DS_R2	1DS_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49208380.0	7.3 Gbp	0.0	50-150	48.0	84.90876491065754	148.46578749391873	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
1DS_R2_001	1DS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50195192.0	7.5 Gbp	0.0	150.0	48.0	84.45921767762287	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	fail	pass
1DW_R1	1DW_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58708738.0	8.7 Gbp	0.0	50-150	46.0	83.37117185687549	148.47348130699046	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
1DW_R1_001	1DW_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59963812.0	8.9 Gbp	0.0	150.0	46.0	83.05398770577173	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
1DW_R2	1DW_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58708738.0	8.7 Gbp	0.0	50-150	47.0	82.40820424064155	148.40978804552057	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass
1DW_R2_001	1DW_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59963812.0	8.9 Gbp	0.0	150.0	47.0	81.95621640927698	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	fail	pass
2AS_R1	2AS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55551688.0	8.2 Gbp	0.0	50-150	49.0	85.39649544887608	148.76409411717606	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
2AS_R1_001	2AS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56459948.0	8.4 Gbp	0.0	150.0	49.0	85.09953711856363	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	pass	pass
2AS_R2	2AS_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55551688.0	8.2 Gbp	0.0	50-150	50.0	84.45161493550279	148.65830694469625	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
2AS_R2_001	2AS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56459948.0	8.4 Gbp	0.0	150.0	50.0	84.02773852885247	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	pass	fail	pass
2AW_R1	2AW_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59451422.0	8.8 Gbp	0.0	50-150	47.0	84.92322793385789	148.49086743459222	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
2AW_R1_001	2AW_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60648670.0	9 Gbp	0.0	150.0	47.0	84.6501268270018	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
2AW_R2	2AW_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59451422.0	8.8 Gbp	0.0	50-150	48.0	84.05715739416645	148.42039181165424	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass
2AW_R2_001	2AW_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60648670.0	9 Gbp	0.0	150.0	47.0	83.59840624339084	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	fail	pass
2BS_R1	2BS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50120093.0	7.4 Gbp	0.0	50-150	45.0	85.23458943866481	148.36546923406547	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
2BS_R1_001	2BS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51335985.0	7.7 Gbp	0.0	150.0	45.0	84.9682496650489	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
2BS_R2	2BS_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50120093.0	7.4 Gbp	0.0	50-150	46.0	84.36821175162966	148.29901085778113	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
2BS_R2_001	2BS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51335985.0	7.7 Gbp	0.0	150.0	46.0	83.95431975698867	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	fail	pass
2BW_R1	2BW_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43974226.0	6.5 Gbp	0.0	50-150	47.0	85.85601902659798	148.56076429861437	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
2BW_R1_001	2BW_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44852582.0	6.7 Gbp	0.0	150.0	47.0	85.58921055798217	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
2BW_R2	2BW_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43974226.0	6.5 Gbp	0.0	50-150	47.0	84.92802777141762	148.46548739709485	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass
2BW_R2_001	2BW_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44852582.0	6.7 Gbp	0.0	150.0	47.0	84.4488832475403	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	fail	pass
2CS_R1	2CS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54206111.0	8 Gbp	0.0	50-150	45.0	83.86988172241131	148.29820711543022	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
2CS_R1_001	2CS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55565888.0	8.3 Gbp	0.0	150.0	45.0	83.57097085266619	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
2CS_R2	2CS_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54206111.0	8 Gbp	0.0	50-150	46.0	82.87800980676185	148.2323992400045	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
2CS_R2_001	2CS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55565888.0	8.3 Gbp	0.0	150.0	46.0	82.44129046746282	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	fail	pass
2CW_R1	2CW_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61035727.0	9 Gbp	0.0	50-150	47.0	84.8771388628496	148.55269819265035	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
2CW_R1_001	2CW_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62244800.0	9.3 Gbp	0.0	150.0	47.0	84.57139019563984	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
2CW_R2	2CW_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61035727.0	9 Gbp	0.0	50-150	48.0	84.01729201487791	148.45176771630818	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
2CW_R2_001	2CW_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62244800.0	9.3 Gbp	0.0	150.0	48.0	83.51872504045892	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	fail	pass
2DS_R1	2DS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54211740.0	8 Gbp	0.0	50-150	45.0	83.64823803233655	148.34179865837177	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
2DS_R1_001	2DS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55538755.0	8.3 Gbp	0.0	150.0	45.0	83.37096128122246	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
