Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
3AS_R2		15.564791780152447	48.0	148.42313561710947	150	18.181818181818183	55993112.0
3AS_R2_001		16.008737579365643	47.0	150.0	150	18.181818181818183	57175714.0
3AW	2.9292832657639734						
3AW_R1		15.304520602626212	47.0	148.56331907544143	150	9.090909090909092	55773556.0
3AW_R1_001		15.570355186882509	47.0	150.0	150	9.090909090909092	56911890.0
3AW_R2		16.214228622901913	47.0	148.4822048104661	150	18.181818181818183	55773556.0
3AW_R2_001		16.64279500992116	47.0	150.0	150	18.181818181818183	56911890.0
3BS	2.884279284870779						
3BS_R1		14.826686713753034	47.0	148.57759491897264	150	9.090909090909092	53177277.0
3BS_R1_001		15.101401115565409	47.0	150.0	150	9.090909090909092	54240957.0
3BS_R2		15.688410498901774	48.0	148.48612261586842	150	18.181818181818183	53177277.0
3BS_R2_001		16.139678258454225	48.0	150.0	150	18.181818181818183	54240957.0
3BW	3.4204222079370217						
3BW_R1		16.731041523064988	45.0	148.3768594248525	150	9.090909090909092	54895066.0
3BW_R1_001		17.02218521625207	45.0	150.0	150	9.090909090909092	56229134.0
3BW_R2		17.693788214100863	46.0	148.29660325028118	150	18.181818181818183	54895066.0
3BW_R2_001		18.12111790069133	46.0	150.0	150	18.181818181818183	56229134.0
3CS	3.276628186693627						
3CS_R1		16.323879112784596	46.0	148.39249310818178	150	9.090909090909092	57196082.0
3CS_R1_001		16.618562306631233	46.0	150.0	150	9.090909090909092	58507664.0
3CS_R2		17.092005644218133	47.0	148.3282651073897	150	18.181818181818183	57196082.0
3CS_R2_001		17.508151228537926	46.0	150.0	150	18.181818181818183	58507664.0
3CW	2.9892458643937134						
3CW_R1		16.39486348168748	47.0	148.524550862696	150	9.090909090909092	64117197.0
3CW_R1_001		16.673587488319626	46.0	150.0	150	9.090909090909092	65447659.0
3CW_R2		17.44214670716748	47.0	148.43489493154232	150	18.181818181818183	64117197.0
3CW_R2_001		17.92481504017131	47.0	150.0	150	18.181818181818183	65447659.0
3DS	3.1300294916695135						
3DS_R1		15.492925600794578	46.0	148.4484542013184	150	9.090909090909092	56598638.0
3DS_R1_001		15.736905133801315	46.0	150.0	150	9.090909090909092	57830455.0
3DS_R2		16.2568171591286	47.0	148.3821095129533	150	18.181818181818183	56598638.0
3DS_R2_001		16.62275597131648	47.0	150.0	150	18.181818181818183	57830455.0
3DW	3.4848159130814023						
3DW_R1		18.148802311035368	45.0	148.35247810404528	150	9.090909090909092	78933530.0
3DW_R1_001		18.533035889720708	45.0	150.0	150	9.090909090909092	80895491.0
3DW_R2		18.88720685908153	45.0	148.28239869672623	150	18.181818181818183	78933530.0
3DW_R2_001		19.463365186961767	45.0	150.0	150	18.181818181818183	80895491.0
