ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust,TERM,ONTOLOGY
GO:0005515,protein binding,7/12,3851/8282,0.29633596769086135,1.6118565568334682,7,3851,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1/Montipora_capitata_HIv3___RNAseq.g2578.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.5926719353817227,protein binding,MF
GO:0048523,negative regulation of cellular process,5/12,2566/8282,0.3026153035497686,1.592194525926578,5,2566,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___RNAseq.g2578.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.597471240341851,negative regulation of cellular process,BP
GO:0071944,cell periphery,4/12,2003/8282,0.326069532294139,1.5684387188100963,4,2003,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.6356292148518659,cell periphery,CC
GO:0009888,tissue development,3/12,1439/8282,0.3478132135780412,1.5862457489118071,3,1439,Montipora_capitata_HIv3___RNAseq.g41254.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1,0.6629175394004815,tissue development,BP
GO:0043167,ion binding,3/12,1441/8282,0.34867740708726624,1.5835764393350695,3,1441,Montipora_capitata_HIv3___TS.g13493.t1/Montipora_capitata_HIv3___RNAseq.g33271.t1/Montipora_capitata_HIv3___TS.g16805.t1,0.6629175394004815,ion binding,MF
GO:0006950,response to stress,4/12,2083/8282,0.35585684494985637,1.4888581162419308,4,2083,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___TS.g16805.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.6683165136863156,response to stress,BP
GO:0032268,GO:0032268,3/12,1471/8282,0.3616531177179446,1.5444094895345795,3,1471,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1,0.6710190376935358,NA,NA
GO:0070887,cellular response to chemical stimulus,3/12,1485/8282,0.36771435568972566,1.5266741739200391,3,1485,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g44164.t1,0.6714624154038188,cellular response to chemical stimulus,BP
GO:0051171,regulation of nitrogen compound metabolic process,5/12,2767/8282,0.3706123721384714,1.4244159044162776,5,2767,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___TS.g14965.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___RNAseq.g29751.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.6714624154038188,regulation of nitrogen compound metabolic process,BP
GO:0006355,regulation of DNA-templated transcription,3/12,1523/8282,0.3841722760962136,1.480182076943508,3,1523,Montipora_capitata_HIv3___RNAseq.g25591.t1/Montipora_capitata_HIv3___RNAseq.g49974.t1/Montipora_capitata_HIv3___RNAseq.g43134.t1,0.6776404971574669,regulation of DNA-templated transcription,BP
