ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust,TERM,ONTOLOGY
GO:0055080,monoatomic cation homeostasis,12/164,418/8363,0.11889953797720143,1.5152532004230461,12,418,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g33991.t1/Montipora_capitata_HIv3___TS.g27540.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g33992.t1/Montipora_capitata_HIv3___RNAseq.g38848.t1/Montipora_capitata_HIv3___RNAseq.g36907.t1/Montipora_capitata_HIv3___RNAseq.g46378.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g15029.t1b,0.5108652243732984,monoatomic cation homeostasis,BP
GO:0055074,calcium ion homeostasis,8/164,251/8363,0.12004183406962354,1.6788730111760999,8,251,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g33991.t1/Montipora_capitata_HIv3___TS.g27540.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g33992.t1/Montipora_capitata_HIv3___RNAseq.g46378.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1,0.5108652243732984,calcium ion homeostasis,BP
GO:0072503,GO:0072503,8/164,251/8363,0.12004183406962354,1.6788730111760999,8,251,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g33991.t1/Montipora_capitata_HIv3___TS.g27540.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g13129.t1/Montipora_capitata_HIv3___RNAseq.g33992.t1/Montipora_capitata_HIv3___RNAseq.g36907.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1,0.5108652243732984,NA,NA
GO:0050830,defense response to Gram-positive bacterium,3/164,62/8363,0.12158824892855491,2.5703281589870905,3,62,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g6978.t1/Montipora_capitata_HIv3___RNAseq.g18698.t1,0.5108652243732984,defense response to Gram-positive bacterium,BP
GO:0016796,"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",3/164,62/8363,0.12158824892855491,2.5703281589870905,3,62,Montipora_capitata_HIv3___RNAseq.g42608.t1/Montipora_capitata_HIv3___RNAseq.g4241.t1/Montipora_capitata_HIv3___RNAseq.g18929.t1,0.5108652243732984,"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",MF
GO:0008354,germ cell migration,3/164,62/8363,0.12158824892855491,2.5703281589870905,3,62,Montipora_capitata_HIv3___RNAseq.g36907.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g28116.t1,0.5108652243732984,germ cell migration,BP
GO:0002758,innate immune response-activating signaling pathway,3/164,62/8363,0.12158824892855491,2.5703281589870905,3,62,Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t,0.5108652243732984,innate immune response-activating signaling pathway,BP
GO:0046824,positive regulation of nucleocytoplasmic transport,3/164,62/8363,0.12158824892855491,2.5703281589870905,3,62,Montipora_capitata_HIv3___RNAseq.g6978.t1/Montipora_capitata_HIv3___RNAseq.g5395.t1/Montipora_capitata_HIv3___TS.g47745.t1,0.5108652243732984,positive regulation of nucleocytoplasmic transport,BP
GO:0061371,determination of heart left/right asymmetry,4/164,97/8363,0.12267917588601752,2.1787692769047813,4,97,Montipora_capitata_HIv3___RNAseq.g2559.t1a/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___TS.g33523.t1,0.5108652243732984,determination of heart left/right asymmetry,BP
GO:0003774,cytoskeletal motor activity,4/164,97/8363,0.12267917588601752,2.1787692769047813,4,97,Montipora_capitata_HIv3___RNAseq.g36838.t1/Montipora_capitata_HIv3___TS.g5595.t1/Montipora_capitata_HIv3___RNAseq.g18698.t1/Montipora_capitata_HIv3___TS.g5653.t1,0.5108652243732984,cytoskeletal motor activity,MF
GO:0002764,immune response-regulating signaling pathway,5/164,134/8363,0.12295419593707171,1.9670185803098799,5,134,Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g24942.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1,0.5108652243732984,immune response-regulating signaling pathway,BP
GO:0009898,cytoplasmic side of plasma membrane,5/164,134/8363,0.12295419593707171,1.9670185803098799,5,134,Montipora_capitata_HIv3___RNAseq.g6978.t1/Montipora_capitata_HIv3___RNAseq.g11548.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g8971.t1,0.5108652243732984,cytoplasmic side of plasma membrane,CC
GO:0051099,positive regulation of binding,5/164,134/8363,0.12295419593707171,1.9670185803098799,5,134,Montipora_capitata_HIv3___TS.g1118.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g41333.t1/Montipora_capitata_HIv3___TS.g47745.t1,0.5108652243732984,positive regulation of binding,BP
GO:0005576,extracellular region,22/164,866/8363,0.12296818885356016,1.3500685055715023,22,866,Montipora_capitata_HIv3___TS.g33283.t2/Montipora_capitata_HIv3___RNAseq.g14946.t1/Montipora_capitata_HIv3___RNAseq.g33991.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g44519.t1/Montipora_capitata_HIv3___TS.g32048.t1/Montipora_capitata_HIv3___RNAseq.g33992.t1/Montipora_capitata_HIv3___RNAseq.g35008.t1/Montipora_capitata_HIv3___RNAseq.g668.t1/Montipora_capitata_HIv3___RNAseq.g24942.t1/Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g20807.t2/Montipora_capitata_HIv3___RNAseq.g33449.t1/Montipora_capitata_HIv3___TS.g33523.t1/Montipora_capitata_HIv3___RNAseq.g4457.t1/Montipora_capitata_HIv3___RNAseq.g44719.t1/Montipora_capitata_HIv3___RNAseq.g14625.t1/Montipora_capitata_HIv3___TS.g10359.t4b/Montipora_capitata_HIv3___RNAseq.g39706.t2/Montipora_capitata_HIv3___RNAseq.g44445.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.5108652243732984,extracellular region,CC
GO:0035148,tube formation,6/164,173/8363,0.12435897556401664,1.8263352123367207,6,173,Montipora_capitata_HIv3___RNAseq.g7741.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g44814.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___TS.g33523.t1,0.5142979776109138,tube formation,BP
