gene,signed_logP
SCF082_s181_g6614,14.6581224391885
SCF082_s3404_g40123,-7.71248779399928
SCF082_s6171_g45071,-4.58232663520469
SCF082_s475_g13306,4.41380247526025
SCF082_s1253_g25066,-4.2901775176492
SCF082_s8246_g46612,4.12586189993506
SCF082_s8250_g46618,4.12586189993506
SCF082_s178_g6525,-3.80076470570431
SCF082_s179_g6545,-3.94014310696286
SCF082_s843_g19838,3.89686114039579
SCF082_s844_g19860,3.89686114039579
SCF082_s1485_g27499,-3.81411796184135
SCF082_s2467_g35203,4.0345007934676
SCF082_s4231_g42509,3.8429110789363
SCF082_s997_g21883,-3.7707432684941
SCF082_s2495_g35369,3.73069220415657
SCF082_s32_g1824,3.65452565497352
SCF082_s3_g175,-3.56771332126018
SCF082_s289_g9400,3.5614723821511
SCF082_s1327_g25968,-3.60560626609013
SCF082_s3280_g39601,3.4817545955874
SCF082_s26142_g52138,-3.44100493239132
SCF082_s454_g12919,3.27193979078825
SCF082_s965_g21483,-3.20244951803848
SCF082_s9704_g47425,-3.21704609337187
SCF082_s149_g5680,-3.09204415490924
SCF082_s241_g8151,3.13498549782652
SCF082_s844_g19853,3.10699414053001
SCF082_s1438_g27017,3.0711934075087
SCF082_s2021_g32062,-3.10214717175357
SCF082_s4804_g43527,-3.079782988383
SCF082_s4926_g43716,-3.05468389336632
SCF082_s1_g1,-0.0725321573813814
SCF082_s1_g2,0.370510630879954
SCF082_s1_g3,0.412377824770581
SCF082_s1_g4,0.719213237392922
SCF082_s1_g5,0.657900862665299
SCF082_s1_g6,0.350641099476881
SCF082_s1_g8,0.390608486671266
SCF082_s1_g10,0.00320583823433709
SCF082_s1_g11,0.0233287039138141
SCF082_s1_g12,0.109004625002622
SCF082_s1_g13,-0.211936508416846
SCF082_s1_g14,-0.0670826602609405
SCF082_s1_g15,-1.62788653266024
SCF082_s1_g16,0.447897884130127
SCF082_s1_g17,1.0587200148824
SCF082_s1_g19,-0.133662437865589
SCF082_s1_g20,0.346664153683073
SCF082_s1_g21,-0.441587791815046
SCF082_s1_g22,0.47967847123769
SCF082_s1_g23,-0.216876843125306
SCF082_s1_g24,0.576023597288314
SCF082_s1_g25,0.175527204728506
SCF082_s1_g26,-0.416721733941927
SCF082_s1_g27,0.322227462398036
SCF082_s1_g30,-0.129917456219395
SCF082_s1_g31,-0.351501855005744
SCF082_s1_g32,0.0751924414146068
SCF082_s1_g33,0.30424990130354
SCF082_s1_g34,0.156298041881316
SCF082_s1_g35,-0.129748142104703
SCF082_s1_g36,-0.621721252511824
SCF082_s1_g39,-0.0719222871388518
SCF082_s1_g40,0.254552627951919
SCF082_s1_g42,0.169841628511835
SCF082_s1_g43,0.586260405922858
SCF082_s1_g45,-0.0248460838542567
SCF082_s1_g46,-0.549907716151144
SCF082_s1_g47,-0.4443122245982
SCF082_s1_g48,-0.174184826746267
SCF082_s1_g49,-0.252736615293322
SCF082_s1_g50,-0.0637189622064259
SCF082_s1_g51,0.103302451437582
SCF082_s1_g52,0.0234104384208658
SCF082_s1_g53,-0.540910574368055
SCF082_s1_g55,0.0895326586529419
SCF082_s1_g56,-0.0950755147314238
SCF082_s1_g57,0.213722849708889
SCF082_s1_g59,0.0956466430772904
SCF082_s1_g60,0.0287742964915849
SCF082_s1_g61,0.307819832841006
SCF082_s1_g62,0.107748254309474
SCF082_s1_g66,0.0504443227267358
SCF082_s1_g67,0.533000577871997
SCF082_s1_g70,-0.404100618044116
SCF082_s2_g71,-0.242034836385936
SCF082_s2_g72,0.0950394896447632
SCF082_s2_g73,1.03503764555749
SCF082_s2_g74,0.0302015420241907
SCF082_s2_g75,0.657900862665299
SCF082_s2_g76,0.330526588641518
SCF082_s2_g78,0.390608486671266
SCF082_s2_g79,0.0320537566472052
SCF082_s2_g80,-0.00141024164448014
SCF082_s2_g81,0.210127323339254
SCF082_s2_g82,-0.00417900241121777
SCF082_s2_g83,-1.17099020975408
SCF082_s2_g84,0.680692149617549
SCF082_s2_g85,-0.458802429489917
SCF082_s2_g86,0.0829755846421742
SCF082_s2_g87,-0.211936508416846
SCF082_s2_g88,-0.788427366327995
SCF082_s2_g89,-0.432926208623229
SCF082_s2_g90,-0.298719049177666
SCF082_s2_g91,0.777527215382904
SCF082_s2_g92,-0.496662433314604
SCF082_s2_g93,-0.230902170572497
SCF082_s2_g94,0.0473270532116647
SCF082_s2_g95,-0.277818637295007
SCF082_s2_g98,0.255147786043526
SCF082_s2_g99,0.333301138006094
SCF082_s2_g100,-0.113394568908363
SCF082_s2_g101,-0.696661809989798
SCF082_s2_g103,-0.170779731238778
SCF082_s2_g104,0.0512512723395263
SCF082_s2_g106,0.213104005828482
SCF082_s2_g107,0.0270115160736581
SCF082_s2_g109,-0.449234090018383
SCF082_s2_g111,-0.0522748698625655
SCF082_s2_g112,-1.04628132078311
SCF082_s2_g113,0.0860761684774877
SCF082_s2_g114,0.354813580694872
SCF082_s2_g115,-0.078460214367076
SCF082_s2_g116,-0.440299709265582
SCF082_s2_g118_i1,0.407578359740061
SCF082_s2_g120,0.507310441646548
SCF082_s2_g121,-0.482570248250174
SCF082_s2_g122,-0.177289329715014
SCF082_s2_g123,-0.454570508812518
