"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
82 0.814654656929377 3 21 "GO:0005656;GO:0036387;GO:0031261" "DNA replication preinitiation complex" 0.899171322955617
-81 0.672175994064528 2 71 "GO:0005657;GO:0043596" "replication fork" 0.801539846735618
169 0.726971280048998 4 11 "GO:0005665" "RNA polymerase II, core complex" 0.83204134786858
-1217 0.0087883408687439 3 12 "GO:0005666" "RNA polymerase III complex" 0.0440168183682387
-427 0.0191461508843215 2 79 "GO:0005667" "transcription regulator complex" 0.0790115804099465
-733 0.114357652689299 2 12 "GO:0005669" "transcription factor TFIID complex" 0.264745412901245
-415 0.351918107257842 6 13 "GO:0005675;GO:0019908;GO:0032806" "nuclear cyclin-dependent protein kinase holoenzyme complex" 0.542694765402883
-815 0.0428793762932964 3 16 "GO:0005677" "chromatin silencing complex" 0.134370665817496
584 0.208886755751585 2 12 "GO:0005680" "anaphase-promoting complex" 0.381332208319093
-547 4.66033636863054e-08 2 271 "GO:0005681" "spliceosomal complex" 3.03439679113055e-06
-583 0.0277138343941116 2 37 "GO:0005682" "U5 snRNP" 0.104104531762496
-915 0.0591567369540698 2 11 "GO:0005683" "U7 snRNP" 0.165865300742033
-712 1.53480922209472e-07 2 144 "GO:0005684" "U2-type spliceosomal complex" 8.17634731043187e-06
-1001 0.000540161257859774 2 31 "GO:0005685" "U1 snRNP" 0.00589300781508929
-1128 2.75952318014864e-06 2 45 "GO:0005686" "U2 snRNP" 0.000101067536472944
-702 0.0407282907765185 2 22 "GO:0005687;GO:0034709;GO:0034719" "methylosome" 0.131136145027691
-724 0.0110739807112177 4 32 "GO:0005689" "U12-type spliceosomal complex" 0.0527589650144193
-31 0.651125798820648 5 604 "GO:0005694;GO:0044427" "chromosome" 0.789978712440786
-436 0.194614145971425 3 23 "GO:0005697" "telomerase holoenzyme complex" 0.368599337902856
228 0.286581760327516 2 57 "GO:0005700" "polytene chromosome" 0.476683661508558
473 0.126913516029948 3 27 "GO:0005703" "polytene chromosome puff" 0.28050141089355
703 0.0717557290835528 2 17 "GO:0005705" "polytene chromosome interband" 0.192003914351424
476 0.197457528291424 4 19 "GO:0005721" "pericentric heterochromatin" 0.370865742239662
-1404 5.43259804417903e-08 3 39 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 3.18350245388891e-06
226 0.61203632156624 3 13 "GO:0005736" "RNA polymerase I complex" 0.762708358488732
