"cluster","term","pval","direction","nseqs","season","division"
1,"cytoplasmic translation",1.00000186342551e-15,"down",14,"summer","BP"
3,"secondary metabolite biosynthetic process",0.0012028306723451,"up",0,"summer","BP"
4,"positive regulation of phospholipid metabolic process",0.00191830072470569,"up",2,"summer","BP"
5,"cellular homeostasis",0.00447030069725128,"up",15,"summer","BP"
2,"sulfur amino acid metabolic process",0.00465723536000499,"up",3,"summer","BP"
6,"disaccharide biosynthetic process",0.00523405641783305,"up",2,"summer","BP"
