"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
521 0.137290634852604 3 33 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.561227949900515
-833 0.0428531980048364 3 24 "GO:0000394" "RNA splicing, via endonucleolytic cleavage and ligation" 0.36576282627533
-805 0.10980482244446 2 16 "GO:0000395" "mRNA 5'-splice site recognition" 0.526496220661005
-265 0.171055004760199 3 110 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.604933051177421
506 0.329999308283583 3 15 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.749211745933767
-823 0.00618655200653297 2 45 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.189846452443955
-506 0.183587395545803 2 28 "GO:0000459;GO:0000467;GO:0031125" "rRNA 3'-end processing" 0.62057463494362
-515 0.0110746723617477 2 100 "GO:0000460;GO:0000466;GO:0000469" "maturation of 5.8S rRNA" 0.241250115830911
-537 0.0047246365528275 2 114 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.158792784713602
-486 0.0917251283864217 2 49 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 0.496783722188005
-1001 0.000108060274387802 6 61 "GO:0000479;GO:0000478" "obsolete endonucleolytic cleavage involved in rRNA processing" 0.0136194538683769
390 0.0529258483873956 2 101 "GO:0000578;GO:0009948;GO:0007351;GO:0008595" "anterior/posterior axis specification" 0.404275582162595
-1483 0.0197773195133377 3 10 "GO:0000706" "meiotic DNA double-strand break processing" 0.273702590441446
566 0.350674049844905 3 11 "GO:0000709" "meiotic joint molecule formation" 0.763435362062103
944 0.120000648079149 3 11 "GO:0000710" "meiotic mismatch repair" 0.539345462627504
601 0.0534115804938618 3 42 "GO:0000712;GO:0051307" "meiotic chromosome separation" 0.404807930134577
661 0.100964482464346 4 25 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.507871921400655
208 0.710184777785343 3 13 "GO:0000719" "photoreactive repair" 0.925153961168134
-291 0.539253238447231 6 18 "GO:0000722" "telomere maintenance via recombination" 0.85932940316226
291 0.152686433576343 3 99 "GO:0000723;GO:0032200" "telomere maintenance" 0.586961246286399
-120 0.570934678349347 3 91 "GO:0000724;GO:0000725" "recombinational repair" 0.876289569600846
-337 0.252839330573829 -1 47 "GO:0000726;GO:0006303" "obsolete non-recombinational repair" 0.687419104464594
-92 0.827110861371643 4 23 "GO:0000727" "double-strand break repair via break-induced replication" 0.957321820196959
-785 0.118761798865257 2 16 "GO:0000729" "DNA double-strand break processing" 0.538762955068157
240 0.280070702136996 4 83 "GO:0000731;GO:0006301;GO:0019985;GO:0090592" "DNA synthesis involved in DNA repair" 0.705054969444834
689 0.101181178454356 -1 23 "GO:0000737;GO:0006308" "DNA catabolic process" 0.50792088017841
229 0.47326824720344 3 40 "GO:0000741" "karyogamy" 0.834247574615854
368 0.41391618455029 2 20 "GO:0000742" "karyogamy involved in conjugation with cellular fusion" 0.799986550840701
506 0.11241561757117 -1 40 "GO:0000746;GO:0000747" "obsolete conjugation" 0.531789161405709
226 0.625385086655714 5 19 "GO:0000749;GO:0071444;GO:0019236" "cellular response to pheromone" 0.890271872048413
44 0.88851581924146 3 42 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 0.971740020858737
227 0.0304695765592996 2 390 "GO:0000902;GO:0000904" "cell morphogenesis" 0.317992470552678
1065 0.00961033645237056 2 24 "GO:0000911" "cytokinesis by cell plate formation" 0.22915457662443
456 0.168911285440736 4 37 "GO:0000912;GO:0000915" "actomyosin contractile ring assembly" 0.602300008532424
1057 0.0304785581616241 5 17 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 0.317992470552678
632 0.224031847491713 3 15 "GO:0000917;GO:0090529" "cell septum assembly" 0.6582917483749
-242 0.547930724277258 2 25 "GO:0000920" "septum digestion after cytokinesis" 0.859970218081256
-657 7.55001147960241e-10 2 375 "GO:0000956;GO:0006402;GO:0006401;GO:0141188" "nucleic acid catabolic process" 3.80628435878813e-07
687 0.117914315704834 2 21 "GO:0000959" "mitochondrial RNA metabolic process" 0.538317749188046
244 0.701305085466102 2 10 "GO:0000963" "mitochondrial RNA processing" 0.921811065676529
-381 0.105093063915533 2 74 "GO:0000966" "RNA 5'-end processing" 0.51614893664002
-394 0.216928498541739 2 40 "GO:0000967;GO:0034471;GO:0000472;GO:0000480" "obsolete ncRNA 5'-end processing" 0.649864746480303
424 0.399088287953856 2 16 "GO:0000972;GO:0000973" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.7947982890458
-654 0.224254206977834 4 14 "GO:0001100" "negative regulation of exit from mitosis" 0.658396918822609
87 0.417430002913233 3 370 "GO:0001101" "response to acid chemical" 0.801576597949852
806 0.165648166344039 8 12 "GO:0001196;GO:0001198;GO:0007532;GO:0035950;GO:0035952;GO:0035953;GO:0035955;GO:0045894;GO:0072364;GO:0090088;GO:0090089;GO:2000217;GO:2000531;GO:2000877;GO:2000879" "obsolete regulation of cellular ketone metabolic process by regulation of transcription from RNA polymerase II promoter" 0.598492466584097
399 0.322361379865055 -1 25 "GO:0001300" "obsolete chronological cell aging" 0.743703037892644
117 0.763726941916983 -1 27 "GO:0001302" "obsolete replicative cell aging" 0.939049711879456
824 0.0305467405829861 3 28 "GO:0001403;GO:0036267;GO:0070783" "growth of unicellular organism as a thread of attached cells" 0.317992470552678
85 0.69921668832864 4 85 "GO:0001501" "skeletal system development" 0.921616017061428
338 0.250401370288733 2 47 "GO:0001503" "ossification" 0.686609507186433
613 0.33541454761716 2 10 "GO:0001504" "neurotransmitter uptake" 0.755157545605663
-155 0.258290143904682 -1 223 "GO:0001505" "obsolete regulation of neurotransmitter levels" 0.689737712954761
87 0.685341874715793 4 89 "GO:0001508" "action potential" 0.915971563382801
-254 0.249664963487166 2 84 "GO:0001510" "RNA methylation" 0.686609507186433
38 0.936628564132711 4 18 "GO:0001523;GO:0042572" "retinoid metabolic process" 0.984031617393372
30 0.909383603781146 3 57 "GO:0001525;GO:0048514" "blood vessel morphogenesis" 0.97663934362619
-141 0.475899239949169 2 105 "GO:0001539;GO:0060285;GO:0060294" "cilium or flagellum-dependent cell motility" 0.836378694113853
82 0.862896780638241 3 18 "GO:0001541" "ovarian follicle development" 0.96545494873776
261 0.485668849141036 3 29 "GO:0001556" "oocyte maturation" 0.840571539293142
-167 0.233094238730434 2 212 "GO:0001558" "regulation of cell growth" 0.668104474122253
37 0.872316028635489 3 78 "GO:0001568;GO:0001944" "vasculature development" 0.966835196311131
683 0.260381086629874 3 11 "GO:0001570" "vasculogenesis" 0.691256933188236
-168 0.339170393997356 5 133 "GO:0001578;GO:0035082" "microtubule bundle formation" 0.756390662425073
-204 0.268609599897705 2 121 "GO:0001655;GO:0001822;GO:0072001" "urogenital system development" 0.696136680706338
583 0.336456088433875 3 11 "GO:0001656;GO:0003338" "metanephros development" 0.755157545605663
-303 0.547551685846261 5 16 "GO:0001657;GO:0072164;GO:0072163;GO:0001823;GO:0060675;GO:0072171;GO:0072078;GO:0072088;GO:0072009;GO:0072028;GO:0072080" "mesonephros development" 0.859970218081256
-478 0.266050041044847 3 22 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.694445706247977
211 0.0843030251189032 2 282 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.483980557293045
-47 0.844737568195195 2 70 "GO:0001667;GO:0010631;GO:0090130;GO:0090132" "ameboidal-type cell migration" 0.960136725988086
-50 0.86042616472332 6 51 "GO:0001676" "long-chain fatty acid metabolic process" 0.96545494873776
317 0.240509648548864 2 56 "GO:0001678;GO:0071326;GO:0071331;GO:0071333" "cellular response to monosaccharide stimulus" 0.67799864622519
-261 0.273237210309309 5 72 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.702297243395158
367 0.0295408545459007 6 145 "GO:0001701" "in utero embryonic development" 0.316868315174722
38 0.910654262472966 3 36 "GO:0001704;GO:0001707;GO:0048332" "formation of primary germ layer" 0.97663934362619
172 0.612976399578367 3 35 "GO:0001708" "cell fate specification" 0.88870112942795
-90 0.736702233078093 2 57 "GO:0001709" "cell fate determination" 0.931502035303687
98 0.823030290291387 3 21 "GO:0001731" "formation of translation preinitiation complex" 0.956048023185749
-122 0.808391029979234 2 16 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.950937314932239
914 0.0207368575125509 4 26 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.280068694712704
191 0.548610095246572 5 40 "GO:0001738" "morphogenesis of a polarized epithelium" 0.860464456055623
-125 0.531853360108432 4 102 "GO:0001745;GO:0048749" "compound eye development" 0.85932940316226
-392 0.165160094996998 2 51 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.598408598813558
-330 0.142136441051364 5 81 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.570647895870607
-171 0.759470470720995 2 13 "GO:0001756;GO:0061053" "somite development" 0.939049711879456
36 0.910232677191513 2 39 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 0.97663934362619
240 0.585084142282156 2 21 "GO:0001764" "neuron migration" 0.878287148925393
-36 0.760332887452945 2 295 "GO:0001775;GO:0045321" "cell activation" 0.939049711879456
-908 0.0629693739131578 3 17 "GO:0001776" "leukocyte homeostasis" 0.432859556470164
241 0.583516374974334 3 21 "GO:0001816" "cytokine production" 0.878287148925393
-17 0.913222831804038 2 174 "GO:0001817" "regulation of cytokine production" 0.97663934362619
-449 0.0877071000703964 2 59 "GO:0001818" "negative regulation of cytokine production" 0.4859000881451
311 0.145229823931935 2 90 "GO:0001819" "positive regulation of cytokine production" 0.574280893904377
240 0.409353340741764 3 48 "GO:0001824" "blastocyst development" 0.798938807525431
1010 0.0822574978527066 3 12 "GO:0001825" "blastocyst formation" 0.482808216501357
-500 0.409996650730676 5 11 "GO:0001837" "epithelial to mesenchymal transition" 0.798938807525431
242 0.453296680607966 2 39 "GO:0001838;GO:0072175;GO:0001841" "epithelial tube formation" 0.823984207713819
178 0.62775771273735 3 30 "GO:0001843;GO:0060606;GO:0014020" "primary neural tube formation" 0.891074669292788
385 0.490584380054218 2 13 "GO:0001881" "receptor recycling" 0.843961551841739
580 0.186600130062799 5 21 "GO:0001885;GO:0003158;GO:0045446" "endothelium development" 0.622411965020433
-201 0.389443096911357 3 75 "GO:0001889;GO:0061008" "hepaticobiliary system development" 0.786326006608701
519 0.0918130761969379 4 43 "GO:0001890" "placenta development" 0.496783722188005
646 0.12412514656617 2 23 "GO:0001892" "embryonic placenta development" 0.549608083101649
-106 0.612696108528356 3 93 "GO:0001894" "tissue homeostasis" 0.88870112942795
-138 0.66152854572856 4 41 "GO:0001895;GO:0045494" "retina homeostasis" 0.908074288783774
86 0.859968939584026 3 17 "GO:0001910;GO:0031341;GO:0001912;GO:0031343" "regulation of leukocyte mediated cytotoxicity" 0.96545494873776
-56 0.523129127393468 2 574 "GO:0001932;GO:0042325" "regulation of phosphorylation" 0.853573755770053
-31 0.778967899727107 3 358 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphate metabolic process" 0.943401512099773
275 0.504222409113073 3 24 "GO:0001942;GO:0022405;GO:0042633;GO:0098773" "hair cycle" 0.844583421429421
471 0.134882596053299 2 41 "GO:0001947;GO:0003143;GO:0061371" "determination of heart left/right asymmetry" 0.5585459607642
280 0.52339017797727 4 21 "GO:0001952" "regulation of cell-matrix adhesion" 0.853573755770053
-319 0.616407607314935 3 10 "GO:0001954" "positive regulation of cell-matrix adhesion" 0.88870112942795
-1250 0.0495231543303637 2 10 "GO:0001956" "positive regulation of neurotransmitter secretion" 0.390978102084683
-482 0.261512605825488 3 22 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 0.691256933188236
170 0.789865538084307 6 10 "GO:0001960;GO:0060761" "negative regulation of cytokine-mediated signaling pathway" 0.944253212703089
-208 0.709465355985907 5 13 "GO:0001975" "response to amphetamine" 0.92455806546317
176 0.131892463892726 4 312 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.554864126718733
125 0.665120030575705 5 49 "GO:0002027;GO:0061337;GO:0086001" "regulation of heart rate" 0.908362456618291
-31 0.925162723107021 2 37 "GO:0002028" "regulation of sodium ion transport" 0.980730503635685
125 0.770164147848572 3 22 "GO:0002029;GO:0022401;GO:0023058" "adaptation of signaling pathway" 0.940762186124483
237 0.671620002197696 7 13 "GO:0002031" "G protein-coupled receptor internalization" 0.911094059796531
-151 0.80353456460749 4 11 "GO:0002040" "sprouting angiogenesis" 0.948346129526512
399 0.0174070858501154 3 147 "GO:0002064" "epithelial cell development" 0.263385980252599
230 0.241989735035136 4 106 "GO:0002065;GO:0002066;GO:0030707" "columnar/cuboidal epithelial cell differentiation" 0.67799864622519
-209 0.459417119962661 6 51 "GO:0002082;GO:1903715;GO:0043457" "regulation of cellular respiration" 0.827419244814773
1133 0.0352453222085663 3 14 "GO:0002084;GO:0042159;GO:0098734" "lipoprotein catabolic process" 0.337711737601517
-152 0.742421112667607 2 19 "GO:0002090" "regulation of receptor internalization" 0.934047809840993
40 0.911082566934811 3 32 "GO:0002097" "tRNA wobble base modification" 0.97663934362619
525 0.256223012796451 2 19 "GO:0002098" "tRNA wobble uridine modification" 0.689710916978395
-1185 0.0185902628883361 3 16 "GO:0002118;GO:0002121" "aggressive behavior" 0.267775664216074
185 0.314771328352888 4 121 "GO:0002119" "nematode larval development" 0.736623353950492
247 0.109085279158158 2 174 "GO:0002164" "larval development" 0.525186835128431
47 0.909133423403194 2 24 "GO:0002168" "instar larval development" 0.97663934362619
-1278 5.28032165825091e-25 2 275 "GO:0002181" "cytoplasmic translation" 1.86342551319675e-21
-672 0.157135038898218 6 18 "GO:0002182" "cytoplasmic translational elongation" 0.588766438176687
33 0.899640203630367 4 58 "GO:0002183" "cytoplasmic translational initiation" 0.975670030304722
442 0.4471238645809 4 12 "GO:0002184" "cytoplasmic translational termination" 0.821485806568605
-346 0.586722204202814 2 10 "GO:0002188" "translation reinitiation" 0.878467734649259
