"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
653 0.0841397317621401 2 23 "GO:0003916" "DNA topoisomerase activity" 0.470509479620825
112 0.829964153872125 2 12 "GO:0003917" "DNA topoisomerase type I (single strand cut, ATP-independent) activity" 0.933365003607024
43 0.779709542913176 5 139 "GO:0003924" "GTPase activity" 0.91642944540316
625 0.21397367700644 2 13 "GO:0003950" "NAD+ poly-ADP-ribosyltransferase activity" 0.640299755471252
316 0.447552043058824 6 19 "GO:0003993" "acid phosphatase activity" 0.796421951864509
-962 0.0932619791429283 3 10 "GO:0004017" "AMP kinase activity" 0.476140592774975
262 0.563531311058302 -1 16 "GO:0004033" "obsolete aldo-keto reductase (NADPH) activity" 0.845940875781446
-59 0.876531787454158 6 23 "GO:0004112;GO:0004114" "cyclic-nucleotide phosphodiesterase activity" 0.958313443508367
-219 0.61827772211653 3 17 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 0.866612873442838
-1049 0.0302952005268925 2 14 "GO:0004143" "ATP-dependent diacylglycerol kinase activity" 0.265075825476072
186 0.700847943110667 3 14 "GO:0004144;GO:0016411" "acylglycerol O-acyltransferase activity" 0.892482987803821
-293 0.0182524025668016 4 220 "GO:0004175" "endopeptidase activity" 0.209948208334354
672 0.0392084515178552 2 31 "GO:0004176" "ATP-dependent peptidase activity" 0.305104846868827
514 0.127028030241919 5 29 "GO:0004177" "aminopeptidase activity" 0.54237469478785
-782 0.0251139440886246 2 27 "GO:0004180" "carboxypeptidase activity" 0.242887716399984
-377 0.391294143340365 2 17 "GO:0004181" "metallocarboxypeptidase activity" 0.767843869685296
-1466 0.0105305089945206 2 10 "GO:0004185" "serine-type carboxypeptidase activity" 0.154981621506314
-1060 0.000955946600358043 2 32 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.0462268463173139
-208 0.25222802118839 2 101 "GO:0004197" "cysteine-type endopeptidase activity" 0.6782889835231
-72 0.792213705054793 2 44 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.917316520426194
-260 0.30733725554339 5 51 "GO:0004222" "metalloendopeptidase activity" 0.719956131497837
-850 0.0168770590718009 2 26 "GO:0004252" "serine-type endopeptidase activity" 0.207741254392895
-258 0.581570141407016 2 15 "GO:0004312" "fatty acid synthase activity" 0.847152894174838
-73 0.840555576503433 5 25 "GO:0004332;GO:0016832" "aldehyde-lyase activity" 0.935947574494777
211 0.611656840342701 4 19 "GO:0004364" "glutathione transferase activity" 0.862691001900018
-72 0.895036909096744 6 11 "GO:0004373;GO:0019863;GO:0019865" "alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity" 0.961809503902374
87 0.473268841369196 2 230 "GO:0004386;GO:0120545;GO:0070035" "nucleic acid conformation isomerase activity" 0.81722460287977
-856 0.0885522098035613 3 13 "GO:0004407;GO:0033558;GO:0019213" "deacetylase activity" 0.473129952687475
709 0.215747388603787 3 10 "GO:0004430" "1-phosphatidylinositol 4-kinase activity" 0.640299755471252
-154 0.596670283238247 2 39 "GO:0004497" "monooxygenase activity" 0.851774578470697
177 0.207124816725822 2 171 "GO:0004518" "nuclease activity" 0.640299755471252
90 0.623348950993456 3 99 "GO:0004519" "endonuclease activity" 0.868327653955905
351 0.211032009876395 2 42 "GO:0004520" "DNA endonuclease activity" 0.640299755471252
276 0.376036159287079 2 34 "GO:0004521" "RNA endonuclease activity" 0.761086350829749
311 0.420702457169253 4 22 "GO:0004529;GO:0016895" "DNA exonuclease activity, producing 5'-phosphomonoesters" 0.780316612338587
1102 0.035227038310213 2 12 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.287796730187888
510 0.0299340013670938 4 60 "GO:0004536" "DNA nuclease activity" 0.265075825476072
325 0.115568566547686 4 78 "GO:0004540" "RNA nuclease activity" 0.518145162601215
-693 0.152356494302139 2 14 "GO:0004550" "nucleoside diphosphate kinase activity" 0.571111006760077
43 0.797483122344958 2 119 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.917316520426194
514 0.148494124635692 2 26 "GO:0004556;GO:0016160" "amylase activity" 0.569144557942593
-471 0.33137919130148 6 14 "GO:0004559;GO:0015923;GO:0004571;GO:0015924" "alpha-mannosidase activity" 0.738553381609284
457 0.207966075357979 3 25 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.640299755471252
-130 0.788119531185239 2 14 "GO:0004618;GO:0016774" "phosphotransferase activity, carboxyl group as acceptor" 0.917316520426194
156 0.483258965382246 5 67 "GO:0004620;GO:0016298" "lipase activity" 0.826177574656011
915 0.0941378140985195 5 11 "GO:0004622;GO:0120558" "lysophospholipase activity" 0.476140592774975
-498 0.188162234974597 2 23 "GO:0004623" "phospholipase A2 activity" 0.624924814699339
97 0.859032440971946 2 11 "GO:0004629" "phospholipase C activity" 0.948719351611758
-147 0.798078922497826 5 10 "GO:0004634" "phosphopyruvate hydratase activity" 0.917316520426194
366 0.484759735463694 -1 12 "GO:0004652" "obsolete polynucleotide adenylyltransferase activity" 0.826272647783313
-510 0.329667879225427 2 12 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 0.738553381609284
-221 0.700094156211394 4 10 "GO:0004659" "prenyltransferase activity" 0.892482987803821
69 0.364638574685427 2 624 "GO:0004672;GO:0016773;GO:0004674" "phosphotransferase activity, alcohol group as acceptor" 0.761086350829749
147 0.730744790008513 3 18 "GO:0004675;GO:0019199" "transmembrane receptor protein kinase activity" 0.900966616952086
206 0.27079380813918 3 95 "GO:0004683" "calcium/calmodulin-dependent protein kinase activity" 0.695079116706704
718 0.210351483137039 5 10 "GO:0004686" "elongation factor-2 kinase activity" 0.640299755471252
267 0.384745904384041 3 35 "GO:0004690;GO:0004691" "cyclic nucleotide-dependent protein kinase activity" 0.762071043968642
-217 0.434380048246839 3 43 "GO:0004693;GO:0097472" "cyclin-dependent protein kinase activity" 0.783730058596615
-53 0.898759250326173 4 19 "GO:0004707" "MAP kinase activity" 0.962753184289271
-876 0.108834389477682 3 11 "GO:0004708" "MAP kinase kinase activity" 0.504663573125964
182 0.671048756549846 3 18 "GO:0004709" "MAP kinase kinase kinase activity" 0.887652763607555
-168 0.427984770062823 2 74 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.780985685532429
-288 0.33491268560421 2 37 "GO:0004713" "protein tyrosine kinase activity" 0.738553381609284
114 0.501116833245244 2 117 "GO:0004721" "phosphoprotein phosphatase activity" 0.834609719698218
135 0.511493004951153 2 79 "GO:0004722" "protein serine/threonine phosphatase activity" 0.835968683829987
-86 0.8021922185524 4 28 "GO:0004725" "protein tyrosine phosphatase activity" 0.918507913747703
107 0.802586237602911 3 18 "GO:0004740;GO:0009927" "pyruvate dehydrogenase (acetyl-transferring) kinase activity" 0.918507913747703
-1470 0.00494812313438276 3 12 "GO:0004748;GO:0061731;GO:0016728;GO:0051063" "oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor" 0.104683730061785
501 0.216585884790128 2 20 "GO:0004791;GO:0047134" "protein-disulfide reductase [NAD(P)H] activity" 0.640299755471252
169 0.768267452142185 2 10 "GO:0004806" "triacylglycerol lipase activity" 0.916100442337934
757 0.00166875537357001 3 57 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.0594603888372051
1239 0.030540493924865 2 10 "GO:0004839" "ubiquitin activating enzyme activity" 0.265075825476072
-77 0.504771335729679 3 254 "GO:0004842;GO:0019787;GO:0016755" "aminoacyltransferase activity" 0.83552614740585
231 0.38936377548981 2 46 "GO:0004843;GO:0101005" "deubiquitinase activity" 0.766276965135469
-566 0.000437673783390458 2 129 "GO:0004857;GO:0140678" "molecular function inhibitor activity" 0.0269368319413946
-552 0.0271961036278283 4 53 "GO:0004860;GO:0019210" "kinase inhibitor activity" 0.259320593747039
-340 0.498512166224714 2 13 "GO:0004864;GO:0019212" "phosphatase inhibitor activity" 0.833315398849707
142 0.531348155148683 2 64 "GO:0004888" "transmembrane signaling receptor activity" 0.839044568769776
384 0.299908859829182 2 24 "GO:0004930" "G protein-coupled receptor activity" 0.714111413906743
-106 0.652339177151492 3 60 "GO:0005048" "signal sequence binding" 0.878369279182737
47 0.925530248476633 2 13 "GO:0005080" "protein kinase C binding" 0.973468234593926
-241 0.344288215802959 5 51 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.748829192136179
363 0.128984233177022 4 58 "GO:0005096" "GTPase activator activity" 0.54237469478785
-106 0.293630071061695 2 340 "GO:0005102" "signaling receptor binding" 0.714111413906743
490 0.227020085397091 3 20 "GO:0005112" "Notch binding" 0.653181547538518
-106 0.784821546759502 3 22 "GO:0005126" "cytokine receptor binding" 0.917316520426194
149 0.664202834187314 2 28 "GO:0005178" "integrin binding" 0.885477343865171
-1207 5.1088655608015e-33 1 341 "GO:0005198" "structural molecule activity" 1.72935099233131e-30
-167 0.53788086092479 2 45 "GO:0005200" "structural constituent of cytoskeleton" 0.839044568769776
181 0.183255250570772 2 183 "GO:0005216;GO:0005261" "monoatomic ion channel activity" 0.617232858887625
630 0.140411924094572 4 18 "GO:0005217" "intracellularly ligand-gated monoatomic ion channel activity" 0.559755399981414
267 0.61015246644122 3 12 "GO:0005227" "calcium-activated cation channel activity" 0.862691001900018
184 0.291777403136355 2 109 "GO:0005244;GO:0022832;GO:0022843" "voltage-gated channel activity" 0.714111413906743
709 0.0297368519812326 4 31 "GO:0005245" "voltage-gated calcium channel activity" 0.265075825476072
-120 0.79754952642121 3 15 "GO:0005246" "calcium channel regulator activity" 0.917316520426194
-540 0.248990870523735 4 15 "GO:0005247;GO:0008308" "voltage-gated chloride channel activity" 0.6782889835231
213 0.519587422099735 2 30 "GO:0005248;GO:0005272" "sodium channel activity" 0.839044568769776
238 0.322303269218295 2 57 "GO:0005249;GO:0005267" "potassium channel activity" 0.736651198783887
-707 0.089313715449779 3 19 "GO:0005251" "delayed rectifier potassium channel activity" 0.473129952687475
-327 0.358751713454859 4 26 "GO:0005253;GO:0005254" "chloride channel activity" 0.761086350829749
688 0.00807836613309699 5 49 "GO:0005262" "calcium channel activity" 0.132081855355568
-420 0.19734617756006 4 31 "GO:0005290;GO:0015174;GO:1901474" "azole transmembrane transporter activity" 0.636288443340969
19 0.968700769445446 2 14 "GO:0005302" "L-tyrosine transmembrane transporter activity" 0.983224019362169
321 0.302706302575388 2 34 "GO:0005310" "dicarboxylic acid transmembrane transporter activity" 0.714111413906743
27 0.954055135130606 4 15 "GO:0005313;GO:0015172" "L-glutamate transmembrane transporter activity" 0.980981496275549
907 0.071304654375734 2 13 "GO:0005315" "phosphate transmembrane transporter activity" 0.446974546410851
592 0.00818201211675494 2 66 "GO:0005319" "lipid transporter activity" 0.132081855355568
-25 0.937227060665089 2 32 "GO:0005326" "neurotransmitter transmembrane transporter activity" 0.973468234593926
-98 0.778076446594257 2 27 "GO:0005338;GO:0015165" "nucleotide-sugar transmembrane transporter activity" 0.916100442337934
1201 0.00117546556091289 2 24 "GO:0005388" "P-type calcium transporter activity" 0.0530526789825351
