"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-618 0.259151145323314 3 11 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.463747216968032
-443 0.241992378496578 4 23 "GO:0003916" "DNA topoisomerase activity" 0.452073674114486
-740 0.157871421583469 2 12 "GO:0003917" "DNA topoisomerase type I (single strand cut, ATP-independent) activity" 0.353445802298193
-604 0.00010451884818764 2 139 "GO:0003924" "GTPase activity" 0.0020903769637528
-150 0.765285535688995 2 13 "GO:0003950" "NAD+ poly-ADP-ribosyltransferase activity" 0.864442133336406
-253 0.54406296384421 3 19 "GO:0003993" "acid phosphatase activity" 0.72117507877985
661 0.249617986480746 3 10 "GO:0004017" "AMP kinase activity" 0.455067642913961
181 0.689565842571366 -1 16 "GO:0004033" "obsolete aldo-keto reductase (NADPH) activity" 0.812659918454989
1422 0.000175653060487181 2 23 "GO:0004112;GO:0004114" "cyclic-nucleotide phosphodiesterase activity" 0.00298610202828208
1694 0.000120538663658863 2 17 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 0.00221530516994667
-1051 0.0672517129627203 2 10 "GO:0004130" "cytochrome-c peroxidase activity" 0.210742694998386
689 0.155703628946837 2 14 "GO:0004143" "ATP-dependent diacylglycerol kinase activity" 0.353445802298193
1151 0.0177572683886127 2 14 "GO:0004144;GO:0016411" "acylglycerol O-acyltransferase activity" 0.0838537673906711
176 0.156598585180921 2 221 "GO:0004175" "endopeptidase activity" 0.353445802298193
842 0.0099408824558333 3 31 "GO:0004176" "ATP-dependent peptidase activity" 0.0558661162807161
-172 0.617214553913719 2 28 "GO:0004177" "aminopeptidase activity" 0.767286831190729
-352 0.31461541327549 3 27 "GO:0004180" "carboxypeptidase activity" 0.527684681701378
254 0.563664597922424 3 17 "GO:0004181" "metallocarboxypeptidase activity" 0.730079860166187
-1379 0.0162782126827041 2 10 "GO:0004185" "serine-type carboxypeptidase activity" 0.0791438009609077
393 0.221314869753468 2 32 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.422736268068422
351 0.0536771613298694 5 101 "GO:0004197" "cysteine-type endopeptidase activity" 0.187433458597756
784 0.0042635374777418 2 44 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.0309086758811097
91 0.722031360949056 2 51 "GO:0004222" "metalloendopeptidase activity" 0.837852091203683
501 0.151943890326738 2 27 "GO:0004252" "serine-type endopeptidase activity" 0.351434848374768
28 0.951986117934634 2 15 "GO:0004312" "fatty acid synthase activity" 0.966863128992913
-167 0.646320465605149 2 25 "GO:0004332;GO:0016832" "aldehyde-lyase activity" 0.78904473359336
-558 0.180874760785007 2 19 "GO:0004364" "glutathione transferase activity" 0.379613695474706
695 0.204151028132588 3 11 "GO:0004373;GO:0019863;GO:0019865" "IgE binding" 0.406618906467709
493 5.2811298159873e-05 3 230 "GO:0004386;GO:0120545;GO:0070035" "nucleic acid conformation isomerase activity" 0.00115844137899076
514 0.307690044108497 3 13 "GO:0004407;GO:0033558;GO:0019213" "deacetylase activity" 0.519179230753791
-801 0.163114976635739 2 10 "GO:0004430" "1-phosphatidylinositol 4-kinase activity" 0.36021629254302
205 0.482450304848952 2 39 "GO:0004497" "monooxygenase activity" 0.678262284852422
181 0.196691541168188 2 173 "GO:0004518" "nuclease activity" 0.394543504408165
126 0.48971638562652 4 101 "GO:0004519" "endonuclease activity" 0.682544420551548
-222 0.424222299040566 2 43 "GO:0004520" "DNA endonuclease activity" 0.626156311814862
177 0.570214744725735 2 34 "GO:0004521" "RNA endonuclease activity" 0.734324956415237
211 0.586821295362079 3 22 "GO:0004529;GO:0016895" "DNA exonuclease activity, producing 5'-phosphomonoesters" 0.741707213468799
-1586 0.00247839042127385 5 12 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.0230863765269345
135 0.563366689691771 2 61 "GO:0004536" "DNA nuclease activity" 0.730079860166187
105 0.612859654518871 2 78 "GO:0004540" "RNA nuclease activity" 0.764393231960005
-173 0.721173768777187 2 14 "GO:0004550" "nucleoside diphosphate kinase activity" 0.837852091203683
461 0.00598886393081803 4 119 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.039321317310747
1105 0.00194244236479248 2 26 "GO:0004556;GO:0016160" "amylase activity" 0.019142910261723
1029 0.0340783441907343 5 14 "GO:0004559;GO:0015923;GO:0004571;GO:0015924" "mannosidase activity" 0.137936155057734
-1042 0.00346979583985722 3 26 "GO:0004601;GO:0016684" "peroxidase activity" 0.0274355950128245
-1716 0.000408149449946023 2 14 "GO:0004618;GO:0016774" "phosphotransferase activity, carboxyl group as acceptor" 0.00555083251926591
-323 0.150017157799993 2 66 "GO:0004620;GO:0016298" "lipase activity" 0.350555557745688
367 0.502400321293508 5 11 "GO:0004622;GO:0120558" "lysophospholipase activity" 0.690166097938556
-936 0.0156543782852664 3 22 "GO:0004623" "phospholipase A2 activity" 0.0788516832146752
246 0.653829599286218 6 11 "GO:0004629" "phospholipase C activity" 0.792573192136971
-1155 0.0442971182010954 3 10 "GO:0004634" "phosphopyruvate hydratase activity" 0.162821839874297
392 0.454370560451673 -1 12 "GO:0004652" "obsolete polynucleotide adenylyltransferase activity" 0.651839622588898
451 0.370689538629672 3 13 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 0.567722716820218
-823 0.151841842605805 2 10 "GO:0004659" "prenyltransferase activity" 0.351434848374768
464 1.20452328626875e-09 3 627 "GO:0004672;GO:0016773;GO:0004674" "phosphotransferase activity, alcohol group as acceptor" 7.44614395147955e-08
1316 0.00211497321183427 3 18 "GO:0004675;GO:0019199" "transmembrane receptor protein kinase activity" 0.020256081465455
326 0.0818848071550061 2 95 "GO:0004683" "calcium/calmodulin-dependent protein kinase activity" 0.240007193385363
345 0.548433534799168 6 10 "GO:0004686" "elongation factor-2 kinase activity" 0.722741867564795
1174 0.000133656007724055 2 35 "GO:0004690;GO:0004691" "cyclic nucleotide-dependent protein kinase activity" 0.00233041244236814
-100 0.719467537588506 5 43 "GO:0004693;GO:0097472" "cyclin-dependent protein serine/threonine kinase activity" 0.837852091203683
-183 0.660866176384798 5 19 "GO:0004707" "MAP kinase activity" 0.792573192136971
206 0.707106446164049 2 11 "GO:0004708" "MAP kinase kinase activity" 0.826172480054215
1448 0.000718578130339116 5 18 "GO:0004709" "MAP kinase kinase kinase activity" 0.00904876164130739
305 0.149996546482422 4 74 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.350555557745688
609 0.0418087090367587 2 37 "GO:0004713" "protein tyrosine kinase activity" 0.158826380698301
7 0.96720348150916 4 118 "GO:0004721" "phosphoprotein phosphatase activity" 0.975813601522595
-85 0.678797227130012 5 80 "GO:0004722" "protein serine/threonine phosphatase activity" 0.805553428356733
511 0.136992540079202 2 28 "GO:0004725" "protein tyrosine phosphatase activity" 0.329169354253913
-414 0.333255238073376 3 18 "GO:0004740;GO:0009927" "pyruvate dehydrogenase (acetyl-transferring) kinase activity" 0.542137707870564
-591 0.259152856540959 3 12 "GO:0004748;GO:0061731;GO:0016728;GO:0051063" "oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor" 0.463747216968032
73 0.85825072394626 4 20 "GO:0004791;GO:0047134" "protein-disulfide reductase [NAD(P)H] activity" 0.909050611033422
111 0.846777425822101 2 10 "GO:0004806" "triacylglycerol lipase activity" 0.905705512615005
-666 0.00539614370296994 3 58 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.0363304724556392
824 0.151294163756501 2 10 "GO:0004839" "ubiquitin activating enzyme activity" 0.351434848374768
36 0.756307995901884 3 253 "GO:0004842;GO:0019787;GO:0016755" "aminoacyltransferase activity" 0.857149062022135
-151 0.574899675039029 2 46 "GO:0004843;GO:0101005" "deubiquitinase activity" 0.737607130238754
-178 0.273031302133983 2 127 "GO:0004857;GO:0140678" "molecular function inhibitor activity" 0.481874515781599
-694 0.00601384852987896 4 52 "GO:0004860;GO:0019210" "kinase inhibitor activity" 0.039321317310747
-866 0.0853430026445551 2 13 "GO:0004864;GO:0019212" "phosphatase inhibitor activity" 0.245903566941938
1106 1.22135071180191e-06 2 64 "GO:0004888" "transmembrane signaling receptor activity" 4.37114991592262e-05
1088 0.00334478308939882 2 24 "GO:0004930" "G protein-coupled receptor activity" 0.0270768154856095
188 0.424497146686252 2 60 "GO:0005048" "signal sequence binding" 0.626156311814862
-89 0.853887065579773 2 14 "GO:0005080" "protein kinase C binding" 0.907255007178509
84 0.738736052744298 5 52 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.847117227430224
451 0.0573777677853121 3 59 "GO:0005096" "GTPase activator activity" 0.195084410470061
-225 0.0259173511770274 3 340 "GO:0005102" "signaling receptor binding" 0.110841501889174
-225 0.571261620505383 2 21 "GO:0005112" "Notch binding" 0.734324956415237
104 0.787940061180157 2 22 "GO:0005126" "cytokine receptor binding" 0.874060753022034
-930 0.00681483985201945 2 28 "GO:0005178" "integrin binding" 0.0437178405601248
-1045 5.80403512610905e-25 1 339 "GO:0005198" "structural molecule activity" 1.97337194287708e-22
-201 0.463101257498491 2 44 "GO:0005200" "structural constituent of cytoskeleton" 0.658805136190322
770 1.4016599587998e-08 2 184 "GO:0005216;GO:0005261" "monoatomic ion channel activity" 7.33175978449126e-07
174 0.684213842495655 6 18 "GO:0005217" "intracellularly ligand-gated monoatomic ion channel activity" 0.809157239820949
951 0.0696012147595825 7 12 "GO:0005227" "calcium-activated cation channel activity" 0.216113360897334
1083 5.44394329327503e-10 5 110 "GO:0005244;GO:0022832;GO:0022843" "voltage-gated channel activity" 3.70188143942702e-08
1071 0.0010400543252535 3 31 "GO:0005245" "voltage-gated calcium channel activity" 0.0119429462962718
206 0.659718426702434 2 15 "GO:0005246" "calcium channel regulator activity" 0.792573192136971
1001 0.032811285428959 2 15 "GO:0005247;GO:0008308" "voltage-gated chloride channel activity" 0.134407675251157
770 0.0203452725104315 2 30 "GO:0005248;GO:0005272" "sodium channel activity" 0.0910808412306036
1054 1.05091426824777e-05 3 58 "GO:0005249;GO:0005267" "potassium channel activity" 0.000285848680963393
1331 0.00105378937908281 2 20 "GO:0005251" "delayed rectifier potassium channel activity" 0.0119429462962718
605 0.0898944640263667 5 26 "GO:0005253;GO:0005254" "monoatomic anion channel activity" 0.253580729210545
957 0.000233940168050148 4 49 "GO:0005262" "calcium channel activity" 0.00387998327497806
245 0.445324352920698 2 32 "GO:0005290;GO:0015174;GO:1901474" "azole transmembrane transporter activity" 0.643502169131656
82 0.865589764626295 3 14 "GO:0005302" "L-tyrosine transmembrane transporter activity" 0.913976770102299
838 0.00719152564295208 2 34 "GO:0005310" "dicarboxylic acid transmembrane transporter activity" 0.0457031536187609
544 0.246162534656944 4 15 "GO:0005313;GO:0015172" "acidic amino acid transmembrane transporter activity" 0.455067642913961
-618 0.219929891212066 3 13 "GO:0005315" "phosphate transmembrane transporter activity" 0.422225872955842
1005 6.50759478343862e-06 2 67 "GO:0005319" "lipid transporter activity" 0.000184381852197428
580 0.0669048905262222 3 33 "GO:0005326" "neurotransmitter transmembrane transporter activity" 0.210626507212181
-31 0.930226373953787 2 27 "GO:0005338;GO:0015165" "nucleotide-sugar transmembrane transporter activity" 0.954275450615344
1191 0.00132148094334895 2 24 "GO:0005388" "P-type calcium transporter activity" 0.0142636038329728
476 0.384284987162869 2 11 "GO:0005416" "amino acid:monoatomic cation symporter activity" 0.584594611343962
700 0.123352856845397 3 16 "GO:0005432" "calcium:sodium antiporter activity" 0.306128917929489
73 0.806437239362377 5 37 "GO:0005451;GO:0051139;GO:0015386;GO:0022821" "solute:potassium antiporter activity" 0.881635567148579
-340 0.440381269178807 4 17 "GO:0005459" "UDP-galactose transmembrane transporter activity" 0.642227688784132
281 0.607486094471645 2 11 "GO:0005462" "UDP-N-acetylglucosamine transmembrane transporter activity" 0.761776196559757
-735 0.0636824269482336 2 21 "GO:0005484" "SNAP receptor activity" 0.209291059224074
118 0.727527642253505 2 29 "GO:0005496" "steroid binding" 0.840991067673192
-255 0.519548922559347 2 21 "GO:0005504;GO:0033293" "monocarboxylic acid binding" 0.699590628396745
-607 0.0031198456223156 7 79 "GO:0005506" "iron ion binding" 0.0258718905265196
-467 0.0322313729300649 3 70 "GO:0005507" "copper ion binding" 0.132832324802692
546 3.33530453417466e-06 2 248 "GO:0005509" "calcium ion binding" 0.000103091231056308
322 0.0192348132744623 2 179 "GO:0005516" "calmodulin binding" 0.0873276919668911
305 4.90733202131706e-05 3 648 "GO:0005524;GO:0032559" "adenyl ribonucleotide binding" 0.00111232859149853
-586 0.0531980926981723 2 36 "GO:0005527;GO:0005528" "macrolide binding" 0.187433458597756
1449 0.00814048566172322 3 11 "GO:0005536" "D-glucose binding" 0.0485930983482594
527 0.294949237662255 3 13 "GO:0005539" "glycosaminoglycan binding" 0.506478488914983
421 0.00376736946524009 3 160 "GO:0005543" "phospholipid binding" 0.0290518789952413
1121 0.00470046818384143 4 21 "GO:0005544" "calcium-dependent phospholipid binding" 0.0327559226143422
965 0.00269525068268309 2 32 "GO:0005546" "phosphatidylinositol-4,5-bisphosphate binding" 0.0244369395229933
1148 0.00732614700556177 4 18 "GO:0005547" "phosphatidylinositol-3,4,5-trisphosphate binding" 0.0458646433217963
1355 3.29203729638987e-06 2 39 "GO:0005548" "phospholipid transporter activity" 0.000103091231056308
-165 0.773368091971797 2 10 "GO:0008013" "beta-catenin binding" 0.869240169488962
274 0.0653655542890035 2 153 "GO:0008017" "microtubule binding" 0.210007669536687
-271 0.0867324427142639 -1 134 "GO:0008022" "obsolete protein C-terminus binding" 0.24846760035435
-186 0.5401108059551 4 36 "GO:0008028" "monocarboxylic acid transmembrane transporter activity" 0.720147741273467
-206 0.0706647291116599 2 264 "GO:0008047;GO:0140677" "molecular function activator activity" 0.217429935728184
-597 0.163156791328309 2 18 "GO:0008080" "N-acetyltransferase activity" 0.36021629254302
589 0.0209698673815105 2 51 "GO:0008081" "phosphoric diester hydrolase activity" 0.0919968375446912
-481 0.305006589076499 2 15 "GO:0008083" "growth factor activity" 0.517171345048353
81 0.36576338601656 3 441 "GO:0008092" "cytoskeletal protein binding" 0.566768306910246
751 1.52317860532114e-05 2 111 "GO:0008094" "ATP-dependent activity, acting on DNA" 0.00036991480414942
-1303 0.000772790633092547 2 22 "GO:0008097" "5S rRNA binding" 0.00955450237278058
-309 0.524602614514845 6 14 "GO:0008106" "alcohol dehydrogenase (NADP+) activity" 0.703609029329575
-390 0.00120374443655578 2 236 "GO:0008134" "transcription factor binding" 0.0134187904402939
315 0.367440440376398 2 27 "GO:0008138" "protein tyrosine/serine/threonine phosphatase activity" 0.566768306910246
-59 0.855819147866904 3 31 "GO:0008139" "nuclear localization sequence binding" 0.907889267627917
-22 0.930418564349961 3 51 "GO:0008143;GO:0070717" "poly-purine tract binding" 0.954275450615344
-516 0.305156484471589 6 13 "GO:0008157" "protein phosphatase 1 binding" 0.517171345048353
75 0.547220130280905 3 220 "GO:0008168;GO:0016741;GO:0008757" "transferase activity, transferring one-carbon groups" 0.722543084642748
-73 0.700284071386898 5 93 "GO:0008170;GO:0008276" "protein methyltransferase activity" 0.820250090021764
317 0.247807005482495 5 44 "GO:0008171" "O-methyltransferase activity" 0.455067642913961
289 0.172571692843325 3 74 "GO:0008173" "RNA methyltransferase activity" 0.37372213736771
299 0.585335360474401 3 11 "GO:0008174" "mRNA methyltransferase activity" 0.741707213468799
335 0.217352831918082 4 45 "GO:0008175" "tRNA methyltransferase activity" 0.421082409413948
-377 0.0902449065719879 2 67 "GO:0008187" "poly-pyrimidine tract binding" 0.253580729210545
354 0.0404302070940915 2 112 "GO:0008194" "UDP-glycosyltransferase activity" 0.157100233279898
-720 0.0396917159388383 2 27 "GO:0008198" "ferrous iron binding" 0.15511705079546
576 0.190855460641803 8 17 "GO:0008199" "ferric iron binding" 0.389418513556981
-562 0.32771770038727 3 10 "GO:0008200;GO:0016248;GO:0141110" "channel inhibitor activity" 0.5383245121185
123 0.212212298618921 3 361 "GO:0008233" "peptidase activity" 0.414361930263558
258 0.0966907845603688 2 139 "GO:0008234" "cysteine-type peptidase activity" 0.261951129486258
308 0.354152397818277 2 30 "GO:0008235" "metalloexopeptidase activity" 0.562790447102632
-175 0.472530911930196 2 56 "GO:0008236;GO:0017171" "serine hydrolase activity" 0.668027068841026
171 0.361467177047095 4 95 "GO:0008237" "metallopeptidase activity" 0.566768306910246
-160 0.5076933823334 2 57 "GO:0008238" "exopeptidase activity" 0.691921215191423
-560 0.248374165368086 5 14 "GO:0008239" "dipeptidyl-peptidase activity" 0.455067642913961
-49 0.932216160925917 3 10 "GO:0008252" "nucleotidase activity" 0.954679200948228
-340 0.191103791329656 3 49 "GO:0008266" "poly(U) RNA binding" 0.389418513556981
-241 0.0303331370027249 3 278 "GO:0008270" "zinc ion binding" 0.126543148232227
315 0.00919264474164148 2 233 "GO:0008289" "lipid binding" 0.052974562917934
546 0.297829268149058 2 12 "GO:0008296" "3'-5'-DNA exonuclease activity" 0.510135774159596
623 0.255308421385784 7 11 "GO:0008297" "single-stranded DNA exodeoxyribonuclease activity" 0.460503253427939
1240 0.000395018037276042 2 27 "GO:0008307" "structural constituent of muscle" 0.00548188296627977
-456 0.218682072616754 3 24 "GO:0008320;GO:0022884;GO:0140318;GO:0015450" "macromolecule transmembrane transporter activity" 0.422225872955842
624 4.24555856061856e-11 2 392 "GO:0008324;GO:0022890" "monoatomic cation transmembrane transporter activity" 3.2077553569118e-09
1144 0.0184417126527325 2 14 "GO:0008331" "high voltage-gated calcium channel activity" 0.0852308740683408
90 0.853077146744369 5 14 "GO:0008353;GO:0140994" "RNA polymerase II CTD heptapeptide repeat modifying activity" 0.907255007178509
181 0.586460088126466 2 30 "GO:0008374" "O-acyltransferase activity" 0.741707213468799
128 0.735833024618578 2 23 "GO:0008375" "acetylglucosaminyltransferase activity" 0.846696311279492
299 0.485697180374003 2 18 "GO:0008376" "acetylgalactosaminyltransferase activity" 0.679983098182942
297 0.453275728126048 5 21 "GO:0008378;GO:0035250" "galactosyltransferase activity" 0.651643752908483
82 0.700831326915654 5 74 "GO:0008408;GO:0004527;GO:0016796" "exonuclease activity" 0.820250090021764
233 0.596383973593984 2 17 "GO:0008409" "5'-3' exonuclease activity" 0.749613866994287
1345 0.00758313146097481 3 13 "GO:0008422" "beta-glucosidase activity" 0.0464552197609268
-2129 1.14666712132002e-05 2 14 "GO:0008426" "protein kinase C inhibitor activity" 0.000299897554806775
912 0.0702194251465632 4 13 "GO:0008428;GO:0140721" "nuclease inhibitor activity" 0.217041859543923
634 0.162812505861249 4 16 "GO:0008429" "phosphatidylethanolamine binding" 0.36021629254302
1008 0.0453535196030446 3 13 "GO:0008443" "phosphofructokinase activity" 0.164852292814862
979 0.088020009273177 2 10 "GO:0008466" "glycogenin glucosyltransferase activity" 0.250433499187282
547 0.243790830192943 2 15 "GO:0008469;GO:0016273;GO:0016274;GO:0035241" "protein-arginine N-methyltransferase activity" 0.454185656249866
