sample_id	treatment	season	replicate	description
1BS	B	Summer	1	Tmt2_Summer_Rep1
1DS	D	Summer	1	Ambient_Summer_Rep1
2BS	B	Summer	2	Tmt2_Summer_Rep2
2DS	D	Summer	2	Ambient_Summer_Rep2
3BS	B	Summer	3	Tmt2_Summer_Rep3
3DS	D	Summer	3	Ambient_Summer_Rep3
1BW	B	Winter	1	Tmt2_Winter_Rep1
1DW	D	Winter	1	Ambient_Winter_Rep1
2BW	B	Winter	2	Tmt2_Winter_Rep2
2DW	D	Winter	2	Ambient_Winter_Rep2
3BW	B	Winter	3	Tmt2_Winter_Rep3
3DW	D	Winter	3	Ambient_Winter_Rep3
