"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SCF082_s2_g130",220.130773135189,-1.72386026252321,0.15920154342823,-10.8281630027058,2.53183544475616e-27,8.89661656932868e-23
"SCF082_s1669_g29174",384.3293213349,0.80226462222053,0.142838371818703,5.61659036017858,1.94762418655536e-08,0.000342187831456844
"SCF082_s1147_g23818",148.564924399904,1.17099897296825,0.214509358693677,5.4589644950664,4.78919509933348e-08,0.000420718816488698
"SCF082_s1985_g31813",18.7102750658951,-4.29182483934872,0.781100757707849,-5.49458542575626,3.91629319904321e-08,0.000420718816488698
"SCF082_s188_g6783",141.913108950859,1.25287838503018,0.239797226029325,5.22474094373785,1.74399099979241e-07,0.000697934057346391
"SCF082_s668_g17023",214.443378005615,1.18692005210093,0.223593905209081,5.30837390666374,1.10607562543432e-07,0.000697934057346391
"SCF082_s669_g17043",174.214970416903,1.19328949129247,0.228592068677774,5.22017014061213,1.78758829679772e-07,0.000697934057346391
"SCF082_s2419_g34880",254.679516396186,-0.75976059558564,0.143709267764003,-5.28678913619759,1.2448199194053e-07,0.000697934057346391
"SCF082_s2481_g35285",357.559266746703,0.97452534506475,0.185252948131157,5.26051193730422,1.43654877001021e-07,0.000697934057346391
"SCF082_s831_g19605",310.143874203053,0.974910252430565,0.189000373555922,5.15824510866432,2.49275160150303e-07,0.00085114563794065
"SCF082_s940_g21138",56.2771284540472,2.08335990692953,0.404869502904413,5.14575657584513,2.66444748494469e-07,0.00085114563794065
"SCF082_s1752_g29894",109.713993046322,1.54987199374031,0.303609302109836,5.10482380799918,3.31102863816116e-07,0.000969551960969543
"SCF082_s2714_g36669",137.122667415585,1.34008856258453,0.265137354603093,5.0543182215521,4.31930918654682e-07,0.00116750927312361
"SCF082_s1191_g24364",374.523452700729,0.820482294216524,0.163574510441694,5.01595445403448,5.27708298515985e-07,0.00132451013582523
"SCF082_s326_g10224",1120.51444350399,0.52505267599977,0.105598141135032,4.97217725952548,6.62051282629274e-07,0.00155092133468734
"SCF082_s2970_g38094",194.796243791425,-0.908201097625279,0.183257420151963,-4.95587625795545,7.20050334500412e-07,0.00158136554400062
"SCF082_s106_g4393",66.6601906012032,1.87678151788274,0.380087490753421,4.93776186678106,7.90242547235164e-07,0.00163343134513508
"SCF082_s3688_g41187",1567.30048459247,-5.86008666602668,1.1906201348551,-4.92187767909691,8.57177868825171e-07,0.00167335406292487
"SCF082_s509_g14043",91.1684953987532,1.62612676057721,0.332744257889388,4.88701674641,1.02375388954377e-06,0.00181717248306131
"SCF082_s1640_g28950",121.991084124509,1.37064557748312,0.280582383988663,4.88500225138333,1.03427671991878e-06,0.00181717248306131
"SCF082_s2452_g35105",92.8008105231025,1.48472011680586,0.30629741709119,4.84731517133177,1.25143531649831e-06,0.00209400883744924
