"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SCF082_s181_g6614",281.088056848827,1.34887856789951,0.170105198834871,7.92967279741359,2.19724032485084e-15,7.68990168891296e-11
"SCF082_s3404_g40123",67.3177204128162,-1.52568737428231,0.271601066933662,-5.61738358213062,1.93870712323905e-08,0.000339254359495602
"SCF082_s6171_g45071",398.094863082111,-0.547822571018415,0.130293313516588,-4.20453326600424,2.61621459908127e-05,0.305207595128821
"SCF082_s475_g13306",118.818279784684,0.885141633022499,0.21505365678853,4.11591063477191,3.8565371985277e-05,0.337427722185181
"SCF082_s1253_g25066",780.564458826356,-0.454162546672615,0.112144913121687,-4.04978285711283,5.12651794998404e-05,0.358835750427083
"SCF082_s8246_g46612",100.569409099716,0.970860586293754,0.245145296594884,3.96034759703407,7.48407446628892e-05,0.374182340244543
"SCF082_s8250_g46618",100.569409099716,0.970860586293754,0.245145296594884,3.96034759703407,7.48407446628892e-05,0.374182340244543
"SCF082_s178_g6525",316.46190081068,-0.661507773706105,0.175103285759324,-3.77781473852715,0.000158210496807181,0.395503640518409
"SCF082_s179_g6545",132.607190728,-0.867499141162736,0.224914318934816,-3.85702051017104,0.000114777534888164,0.395503640518409
"SCF082_s843_g19838",101.683614356309,0.932716461687086,0.243365088226998,3.8325811992273,0.000126805724466778,0.395503640518409
"SCF082_s844_g19860",101.683614356309,0.932716461687086,0.243365088226998,3.8325811992273,0.000126805724466778,0.395503640518409
"SCF082_s1485_g27499",552.8859882741,-0.448541849351852,0.118490483810455,-3.78546727912232,0.000153420021106971,0.395503640518409
"SCF082_s2467_g35203",98.8013194268968,0.952129697566754,0.24352236994983,3.90982437368242,9.23632500916875e-05,0.395503640518409
"SCF082_s4231_g42509",88.4020489934611,5.31248294137498,1.39731533617645,3.80192130139487,0.000143578337748864,0.395503640518409
"SCF082_s997_g21883",60.1755044464527,-1.00922396874092,0.268370719478058,-3.76055916496298,0.00016953396977999,0.395556658290673
"SCF082_s2495_g35369",105.094773270871,0.81739591859008,0.218705450921857,3.73742819460926,0.000185912159632737,0.406659610176658
"SCF082_s32_g1824",543.198172356246,0.385690127164243,0.104435802050605,3.69308340235042,0.000221551321596757,0.456109009014311
"SCF082_s3_g175",230.737975987422,-0.632578988422135,0.173692103314508,-3.64195594589992,0.000270574384218837,0.480331257254202
"SCF082_s289_g9400",458.34665234869,0.450442300786972,0.123807209109488,3.63825583362133,0.000274490689327506,0.480331257254202
"SCF082_s1327_g25968",123.463095479028,-0.761682182232317,0.207862800760376,-3.66435061707065,0.000247966912136437,0.480331257254202
"SCF082_s3280_g39601",61.680571628594,3.18318240676611,0.886508447095908,3.59069608100613,0.000329796015570341,0.549628616806228
"SCF082_s26142_g52138",2438.33482292704,-0.341450867970225,0.0957472687205572,-3.5661682315635,0.000362238884355506,0.576256203394273
"SCF082_s454_g12919",202.757758020116,0.553028073332937,0.159706689361,3.46277338504512,0.000534638474844469,0.81353379750464
"SCF082_s965_g21483",273.954922037224,-0.560796131193847,0.16400039555923,-3.41948035723678,0.000627408621103861,0.878321876855717
"SCF082_s9704_g47425",319.224363804193,-0.466692314430359,0.136116906006499,-3.42861388877056,0.00060667193770607,0.878321876855717
"SCF082_s149_g5680",172.401349609835,-0.564001613542622,0.168374153711338,-3.34969234357401,0.000809013642227323,0.958270514806344
