"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Montipora_capitata_HIv3___RNAseq.g11520.t1",203.938712126265,1.60755718639072,0.277458000781247,5.79387576449146,6.8780345978451e-09,4.06365144095317e-06
"Montipora_capitata_HIv3___TS.g10703.t1",36.6553763428886,5.5488587773744,0.97886276575939,5.66867897265421,1.43902702861898e-08,8.28399892808327e-06
"Montipora_capitata_HIv3___RNAseq.g28355.t1",40.432963830332,-7.66125659074476,1.36034070669454,-5.63186601197922,1.78270162714053e-08,1.0005858557733e-05
"Montipora_capitata_HIv3___RNAseq.g36203.t1",226.964658156945,-2.05799705748278,0.369003757707046,-5.57717100300272,2.44461531845226e-08,1.33863557352614e-05
"Montipora_capitata_HIv3___RNAseq.g13870.t1",3727.71884516137,1.85901130864285,0.334447387581587,5.5584566591639,2.72170521444041e-08,1.45488104212861e-05
"Montipora_capitata_HIv3___RNAseq.g663.t1",339.568458874595,1.52001209158685,0.275270990289774,5.52187533450856,3.35400434999088e-08,1.75118027120105e-05
"Montipora_capitata_HIv3___RNAseq.g1832.t1",33.3851310708603,3.77937562201293,0.686598989496068,5.5044875973191,3.70243524443402e-08,1.88916758347246e-05
"Montipora_capitata_HIv3___RNAseq.g34701.t1",109.196278057564,2.54066004611736,0.469492405997028,5.41150402789145,6.24975884365374e-08,3.11807412886378e-05
"Montipora_capitata_HIv3___RNAseq.g6637.t1",32.8806543917825,6.01295804748633,1.12200210704745,5.35913258069492,8.36224732809438e-08,3.99448542049036e-05
"Montipora_capitata_HIv3___TS.g18789.t1",257.061249653643,6.65193563972535,1.24081889916938,5.36092385776705,8.27974135789685e-08,3.99448542049036e-05
"Montipora_capitata_HIv3___RNAseq.g39502.t1",671.895406139201,1.12672118250532,0.210721065728413,5.34697932838615,8.94342259074676e-08,4.1480776173777e-05
"Montipora_capitata_HIv3___RNAseq.g6536.t1a",20.1366829576633,7.96154649537429,1.489596350882,5.34476772224918,9.05330734717861e-08,4.1480776173777e-05
"Montipora_capitata_HIv3___RNAseq.g3041.t1",95.5561271069182,-3.23250593214197,0.606547149962512,-5.32935639437388,9.85614175127854e-08,4.42560476915909e-05
"Montipora_capitata_HIv3___RNAseq.g39912.t1",70.6324694761885,6.6899256032591,1.25787350521002,5.31844066637061,1.04660338449092e-07,4.60731227160893e-05
"Montipora_capitata_HIv3___TS.g13493.t1",125.922838551643,-9.30414354083201,1.75091565234134,-5.31387307457697,1.07319383550029e-07,4.63351438477249e-05
"Montipora_capitata_HIv3___TS.g20805.t1",51.7829751675094,3.00450678163792,0.566620188130637,5.30250570765971,1.14223894196424e-07,4.8385672615168e-05
"Montipora_capitata_HIv3___RNAseq.g29793.t4",278.833277587613,-6.42264187495856,1.21270936084334,-5.29610975418885,1.18295753286896e-07,4.91825547600758e-05
"Montipora_capitata_HIv3___TS.g11505.t1",75.8484224183537,2.33513862995361,0.441836364213882,5.28507569563293,1.25652789420438e-07,5.12914686414229e-05
"Montipora_capitata_HIv3___RNAseq.g33666.t1",1017.87078407694,1.23513532221666,0.237731458005232,5.19550644487899,2.04163262528557e-07,8.18512394112255e-05
"Montipora_capitata_HIv3___RNAseq.g28338.t1",21.1006967162504,-7.69402566730601,1.48365316437551,-5.18586543812922,2.15014020577586e-07,8.46891188769718e-05
"Montipora_capitata_HIv3___RNAseq.g4934.t1",2998.1661560864,3.8546062282959,0.751322964845786,5.13042514158619,2.89088509581789e-07,0.000111902174631392
"Montipora_capitata_HIv3___RNAseq.g43738.t1",513.510523946836,4.14706612918988,0.811143837157842,5.1126149755643,3.17729479282395e-07,0.000120904144735069
"Montipora_capitata_HIv3___RNAseq.g13056.t1",77.8800207877311,-2.07477885724909,0.40729614199031,-5.09403022358716,3.50530848857158e-07,0.000131162801461534
"Montipora_capitata_HIv3___RNAseq.g3049.t1",172.359445562322,-4.16393439450882,0.819621779662376,-5.0803120388334,3.76815404456588e-07,0.000138686600745161
"Montipora_capitata_HIv3___RNAseq.g7598.t1",379.860127576443,1.96042411959857,0.386852869622994,5.06762201740702,4.02816287582509e-07,0.000145864975363144
"Montipora_capitata_HIv3___RNAseq.g39517.t1",63.7055744305273,-5.20455713270861,1.0282293012945,-5.06166973276901,4.15600510086955e-07,0.000148105508761305
"Montipora_capitata_HIv3___RNAseq.g39507.t1",237.071850798953,6.42256942822882,1.27936007781908,5.02014213166426,5.16332605873634e-07,0.000181127864601077
"Montipora_capitata_HIv3___RNAseq.g30422.t1",961.818396831584,1.37164731720163,0.274276193813984,5.00097109460361,5.7042265234925e-07,0.000197023984121431
"Montipora_capitata_HIv3___TS.g20814.t1",1861.87312656693,1.00102780816482,0.200555968624204,4.99126410962377,5.99854091344949e-07,0.000204050366739174
"Montipora_capitata_HIv3___RNAseq.g20093.t1",7704.01451850201,1.00519052117345,0.201618906435712,4.98559653429109,6.17709277887908e-07,0.000206987925341215
"Montipora_capitata_HIv3___RNAseq.g42128.t1",46.1131725965987,6.26326238306177,1.2583302661065,4.97743919205046,6.44310137580641e-07,0.000209643578243811
"Montipora_capitata_HIv3___RNAseq.g4350.t1",21.6757857137786,8.0740947229433,1.62175362201005,4.97861981830263,6.40392939083789e-07,0.000209643578243811
"Montipora_capitata_HIv3___RNAseq.g21311.t1",136.652032189551,3.14302563756816,0.634275456246534,4.95530073978854,7.22184992318381e-07,0.000231625360893428
"Montipora_capitata_HIv3___TS.g10389.t1",151.746093863908,-2.57267671527925,0.525479731576443,-4.89586288620724,9.78752948515367e-07,0.000309492710522796
"Montipora_capitata_HIv3___RNAseq.g47971.t1",75.5761938062268,2.23764390782274,0.457736533023808,4.88849752288912,1.01608476099159e-06,0.000316834985680864
"Montipora_capitata_HIv3___RNAseq.g39717.t1",518.886575126755,-1.03505251817957,0.212379130270985,-4.87360748138904,1.09578606276881e-06,0.00033700675198935
