"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
788 0.0526999374891055 2 21 "GO:0005682" "U5 snRNP" 0.175276088389692
347 0.110457888174045 2 74 "GO:0005684;GO:0071007" "U2-type spliceosomal complex" 0.272363066918382
241 0.445724969756594 2 35 "GO:0005689;GO:0005686" "U12-type spliceosomal complex" 0.656165611215445
4 0.955903958419583 2 673 "GO:0005694;GO:0044427" "chromosome" 0.975456539387256
1106 0.0144676337214084 2 17 "GO:0005697" "telomerase holoenzyme complex" 0.0691060376692805
-238 0.164599671204296 3 120 "GO:0005700" "polytene chromosome" 0.351929773193947
7 0.981714681792386 2 33 "GO:0005703" "polytene chromosome puff" 0.988318143777536
-457 0.230535428250353 2 24 "GO:0005705" "polytene chromosome interband" 0.422491458303708
-104 0.813831969593517 2 18 "GO:0005721" "pericentric heterochromatin" 0.897814629846411
256 0.000787958549984001 5 667 "GO:0005730" "nucleolus" 0.00842365211768611
977 0.0191458788588786 3 20 "GO:0005732" "sno(s)RNA-containing ribonucleoprotein complex" 0.0868333293700656
714 0.184150609716516 5 12 "GO:0005736" "RNA polymerase I complex" 0.377550793437058
597 7.99053035330984e-12 2 492 "GO:0005740;GO:0031966;GO:0005743;GO:0019866" "mitochondrial envelope" 1.19591604287871e-09
234 0.171064491836281 3 121 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.358915686142477
781 0.117006174485323 2 14 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 0.280939959058342
988 1.86051150840517e-07 -1 98 "GO:0005746;GO:0070469;GO:1990204;GO:0098803" "oxidoreductase complex" 5.96692619481372e-06
1075 0.00329421413314229 3 26 "GO:0005747;GO:0030964;GO:0045271" "respiratory chain complex I" 0.0227554176273983
919 0.056330603376228 2 15 "GO:0005753;GO:0045259;GO:0033177" "proton-transporting ATP synthase complex" 0.178742302837763
888 2.24240072597727e-05 2 80 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.000359584973558498
490 2.15251913861628e-06 2 343 "GO:0005759" "mitochondrial matrix" 4.83240546619355e-05
-46 0.726720171623296 7 204 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 0.860147588695637
-243 0.166737370392746 2 114 "GO:0005766;GO:0035578;GO:0042582" "primary lysosome" 0.353137166539354
-53 0.909177222241965 8 16 "GO:0005767;GO:0044754" "secondary lysosome" 0.947147500665063
-73 0.367132203971103 4 577 "GO:0005768" "endosome" 0.593852186927906
-273 0.0268035229326683 2 237 "GO:0005769" "early endosome" 0.106942335272819
196 0.177154310786375 8 169 "GO:0005770" "late endosome" 0.369964118805034
401 0.239590891035099 2 30 "GO:0005771" "multivesicular body" 0.435531619735868
-143 0.37791358635128 2 135 "GO:0005775;GO:0043202" "vacuolar lumen" 0.596344677254806
395 0.0751054021051814 6 71 "GO:0005776" "autophagosome" 0.214925982374762
134 0.429899134122342 2 122 "GO:0005777;GO:0042579" "peroxisome" 0.647733930271582
142 0.66193231729467 2 33 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.807629376264421
-1075 0.055749193785292 -1 11 "GO:0005779;GO:0031231" "obsolete intrinsic component of peroxisomal membrane" 0.178742302837763
251 0.303466190131921 2 59 "GO:0005782;GO:0031907;GO:0044438;GO:0044439" "obsolete microbody part" 0.514174790072576
-321 0.0360104931498853 2 151 "GO:0005788" "endoplasmic reticulum lumen" 0.12938802374133
32 0.660819360661637 4 759 "GO:0005789;GO:0042175;GO:0044432;GO:0098827" "obsolete endoplasmic reticulum part" 0.807629376264421
144 0.678067887508656 3 29 "GO:0005790" "smooth endoplasmic reticulum" 0.818585051731424
404 0.0691489704607631 3 71 "GO:0005791" "rough endoplasmic reticulum" 0.203478528460618
404 0.0689139406736562 2 71 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.203478528460618
153 0.370959041771274 4 120 "GO:0005795;GO:0031985" "Golgi stack" 0.596344677254806
-112 0.729947850855558 2 33 "GO:0005796" "Golgi lumen" 0.860147588695637
-181 0.582300102811925 5 32 "GO:0005797" "Golgi medial cisterna" 0.75946438873564
451 0.00712380268044319 4 126 "GO:0005798;GO:0030660" "Golgi-associated vesicle" 0.042086676362092
135 0.660909905758037 2 37 "GO:0005801" "cis-Golgi network" 0.807629376264421
40 0.778146631410686 2 180 "GO:0005802" "trans-Golgi network" 0.879018359207082
331 0.160840820532161 2 63 "GO:0005811" "lipid droplet" 0.351929773193947
-123 0.162334535464125 2 482 "GO:0005813;GO:0005815" "microtubule organizing center" 0.351929773193947
-222 0.209146423029319 5 113 "GO:0005814;GO:0044450" "obsolete microtubule organizing center part" 0.398613708144737
-14 0.972795984700274 2 20 "GO:0005818;GO:0000235" "aster" 0.986886827952133
-83 0.50302470434574 5 235 "GO:0005819" "spindle" 0.710245573117098
-286 0.580463962229765 2 13 "GO:0005828" "kinetochore microtubule" 0.75946438873564
-117 0.774396515877807 2 21 "GO:0005838;GO:0022624" "proteasome regulatory particle" 0.879018359207082
-75 0.86104170640582 3 19 "GO:0005839;GO:0019774" "proteasome core complex" 0.918691135360202
331 0.00684526991769631 2 240 "GO:0005840;GO:0044391;GO:0022626;GO:0044445" "obsolete cytosolic part" 0.0409803492406086
335 0.165481731511552 -1 60 "GO:0005844" "obsolete polysome" 0.35213885046771
740 0.0625863128255046 -1 22 "GO:0005845;GO:0034518" "RNA cap binding complex" 0.191164996317358
757 0.093974654683678 4 17 "GO:0005847;GO:0005849" "mRNA cleavage factor complex" 0.242497815821675
488 0.25369381110855 2 19 "GO:0005852;GO:0071541" "eukaryotic translation initiation factor 3 complex" 0.453818809512904
-2016 1.79959174578605e-09 2 31 "GO:0005858;GO:0036156" "axonemal dynein complex" 1.15430956265419e-07
-874 0.0360211647386777 3 20 "GO:0005859;GO:0016460;GO:0031475;GO:0031476;GO:0031477" "myosin II complex" 0.12938802374133
-773 0.0519898376129513 4 22 "GO:0005868" "cytoplasmic dynein complex" 0.174204754389665
319 0.537544914894409 2 13 "GO:0005869" "dynactin complex" 0.725030907500732
-643 0.0209112423458793 2 45 "GO:0005871" "kinesin complex" 0.0922091549191303
