"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-269 0.165225315534285 4 106 "GO:0001664" "G protein-coupled receptor binding" 0.478930137596002
1566 0.0001134337463861 2 24 "GO:0001671" "ATPase activator activity" 0.00540700857773743
-157 0.576103758429449 2 50 "GO:0001727" "lipid kinase activity" 0.835902522095491
-22 0.95235510967008 2 29 "GO:0001784" "phosphotyrosine residue binding" 0.983587395077578
-133 0.700185388737411 2 33 "GO:0001786" "phosphatidylserine binding" 0.908757934133886
-462 0.602588070230208 3 5 "GO:0001846;GO:0001848" "opsonin binding" 0.854931542489136
-342 0.60516133271764 2 9 "GO:0001871;GO:0030247" "polysaccharide binding" 0.854931542489136
276 0.101561890553994 2 141 "GO:0001882;GO:0001883;GO:0032561;GO:0019001;GO:0032549;GO:0032550" "guanyl nucleotide binding" 0.386716429417131
-339 0.456385736939117 3 19 "GO:0001965" "G-protein alpha-subunit binding" 0.767950997920125
-1171 0.0767191248958012 3 9 "GO:0001968" "fibronectin binding" 0.342873526948903
-544 0.305075210496788 4 14 "GO:0001972" "retinoic acid binding" 0.662471315820392
-567 0.0158733998150762 2 72 "GO:0002020" "protease binding" 0.150111863427751
-18 0.947332933024747 3 55 "GO:0002039" "p53 binding" 0.980866842158366
1962 0.0154641507914855 3 6 "GO:0002161" "aminoacyl-tRNA deacylase activity" 0.148777646420196
279 0.347914034206815 3 45 "GO:0003678" "DNA helicase activity" 0.707460920427867
474 0.450028883642241 4 10 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.764659422475962
-65 0.550704764192821 2 355 "GO:0003682" "chromatin binding" 0.824185299889592
799 0.00776365898402984 4 44 "GO:0003684" "damaged DNA binding" 0.097008049635402
464 0.349639914584685 3 16 "GO:0003688" "DNA replication origin binding" 0.708315524244963
-77 0.433881452134113 4 429 "GO:0003690" "double-stranded DNA binding" 0.757201847241979
-136 0.878307319946435 2 5 "GO:0003691" "double-stranded telomeric DNA binding" 0.962473802233638
-277 0.732157942702235 3 6 "GO:0003696" "satellite DNA binding" 0.922677907177815
773 0.000190948090220659 3 93 "GO:0003697" "single-stranded DNA binding" 0.0074469755186057
-225 0.0142422722581719 2 504 "GO:0003700" "DNA-binding transcription factor activity" 0.146102300648948
