"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
311 0.508665060986542 3 18 "GO:0001965" "G-protein alpha-subunit binding" 0.803523104580389
-592 0.348388801189414 3 10 "GO:0001968" "fibronectin binding" 0.719294652365935
476 0.341207356876132 2 16 "GO:0001972;GO:0005501;GO:0019840" "isoprenoid binding" 0.717702645098127
-252 0.28014080793286 2 74 "GO:0002020" "protease binding" 0.682989407945614
-204 0.449430933927078 3 55 "GO:0002039" "p53 binding" 0.779333194699081
89 0.913247662547057 3 6 "GO:0002161" "aminoacyl-tRNA deacylase activity" 0.978957526973493
367 0.224148661574047 3 44 "GO:0003678" "DNA helicase activity" 0.625834035045274
142 0.831369486892639 5 9 "GO:0003680" "minor groove of adenine-thymine-rich DNA binding" 0.95131831833486
284 0.009104877846391 2 354 "GO:0003682" "chromatin binding" 0.130882619041871
201 0.501129067836398 3 45 "GO:0003684" "damaged DNA binding" 0.801666517617161
42 0.93230798576553 3 16 "GO:0003688" "DNA replication origin binding" 0.986716603776767
213 0.0209288690424528 3 503 "GO:0003690;GO:0043565" "sequence-specific DNA binding" 0.218801812716552
994 0.265810874681022 3 5 "GO:0003691" "double-stranded telomeric DNA binding" 0.66806848335284
578 0.4781979551305 3 6 "GO:0003696" "satellite DNA binding" 0.788960056916631
197 0.342310631341583 4 94 "GO:0003697" "single-stranded DNA binding" 0.717702645098127
694 0.358196353417188 4 7 "GO:0003707" "nuclear steroid receptor activity" 0.724948465015155
-70 0.549261317865213 2 302 "GO:0003712" "transcription coregulator activity" 0.817470990795318
-81 0.586796946957385 2 185 "GO:0003713" "transcription coactivator activity" 0.83105478941009
125 0.523976254309375 3 106 "GO:0003714" "transcription corepressor activity" 0.807541053043157
-365 5.95708100429453e-06 3 679 "GO:0003723" "RNA binding" 0.000761182572770968
-252 0.264279891133659 2 79 "GO:0003724;GO:0008186" "ATP-dependent activity, acting on RNA" 0.667123478906479
-101 0.710116375456908 2 54 "GO:0003725" "double-stranded RNA binding" 0.893472463649283
-192 0.376318077631526 2 86 "GO:0003727" "single-stranded RNA binding" 0.73081211250388
-75 0.571890196529988 2 232 "GO:0003729" "mRNA binding" 0.823865313512479
243 0.356126477506287 3 58 "GO:0003730" "mRNA 3'-UTR binding" 0.723578532035742
-1556 7.7555339608671e-18 2 124 "GO:0003735" "structural constituent of ribosome" 8.91886405499717e-15
-889 0.00260323855239409 2 46 "GO:0003743" "translation initiation factor activity" 0.0696214961686792
-778 0.0432484778453211 2 27 "GO:0003746" "translation elongation factor activity" 0.331571663480795
621 0.487169587124789 3 5 "GO:0003747;GO:0008079" "translation release factor activity" 0.795802592604414
-397 0.293796696307104 3 28 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.698996085320022
-1190 0.00943903693195538 3 19 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.13237673746035
389 0.0443132640516053 1 108 "GO:0003774;GO:0120544" "polypeptide conformation or assembly isomerase activity" 0.335934411759102
582 0.0139190562820626 3 72 "GO:0003777" "microtubule motor activity" 0.175900161806286
824 2.46195603342338e-07 4 160 "GO:0003779" "actin binding" 7.07812359609222e-05
1015 0.0920514258183309 2 11 "GO:0003785" "actin monomer binding" 0.426851369722099
614 0.451335571886598 2 6 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.779333194699081
-8 0.987043750132137 2 17 "GO:0003823" "antigen binding" 0.999711308742872
147 0.735688452182571 2 21 "GO:0003841;GO:0016411;GO:0042171;GO:0071617" "lysophosphatidic acid acyltransferase activity" 0.906070697613972
480 0.524655969211858 2 7 "GO:0003857" "(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity" 0.807541053043157
-1 0.998110398423409 3 34 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.999711308742872
-299 0.429075410251228 2 28 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.763262702841521
-571 0.343383158011668 2 11 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.717702645098127
1158 0.155624507679719 2 6 "GO:0003909;GO:0003910" "DNA ligase activity" 0.545634706803893
-278 0.0835471915606779 3 158 "GO:0003924" "GTPase activity" 0.41540409837925
344 0.465053900932083 2 18 "GO:0003943;GO:0008484;GO:0004065" "sulfuric ester hydrolase activity" 0.787072816559463
86 0.858515891368741 2 17 "GO:0003950" "NAD+ poly-ADP-ribosyltransferase activity" 0.957754264363011
-1785 3.54869279771951e-06 4 27 "GO:0003954;GO:0008137;GO:0050136;GO:0003955" "NADH dehydrogenase activity" 0.00051012458967218
728 0.335195787338726 2 7 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.717702645098127
-817 0.279295850508465 2 7 "GO:0003993" "acid phosphatase activity" 0.682989407945614
-596 0.301266077388549 3 12 "GO:0003995;GO:0052890" "acyl-CoA dehydrogenase activity" 0.699911088882488
281 0.690564815705648 2 8 "GO:0004000" "adenosine deaminase activity" 0.880270263222737
1767 0.0478774775865975 2 5 "GO:0004016" "adenylate cyclase activity" 0.335934411759102
-516 0.414151016528671 2 10 "GO:0004017" "AMP kinase activity" 0.75478849244181
558 0.354740488725488 6 11 "GO:0004029;GO:0004030" "aldehyde dehydrogenase (NAD+) activity" 0.723578532035742
94 0.875624104327281 -1 11 "GO:0004033" "obsolete aldo-keto reductase (NADPH) activity" 0.961590603444175
391 0.604866377561273 2 7 "GO:0004035" "alkaline phosphatase activity" 0.838067872524655
-843 0.205730701367348 5 9 "GO:0004040" "amidase activity" 0.603546700439924
-725 0.374093343402374 2 6 "GO:0004051" "arachidonate 5-lipoxygenase activity" 0.73081211250388
-390 0.558523394179416 3 9 "GO:0004062" "aryl sulfotransferase activity" 0.821357932616788
-303 0.59917939224009 5 12 "GO:0004064" "arylesterase activity" 0.836157365474307
-298 0.715046406546115 2 6 "GO:0004067" "asparaginase activity" 0.89478059578676
-648 0.305333447462418 3 10 "GO:0004089" "carbonate dehydratase activity" 0.702266929163561
-704 0.351301845112812 3 7 "GO:0004090" "carbonyl reductase (NADPH) activity" 0.722915390979213
-1161 0.193717623155664 4 5 "GO:0004096" "catalase activity" 0.592323427564211
-224 0.801734894778268 3 5 "GO:0004100" "chitin synthase activity" 0.942943909671372
672 0.225412701803171 2 13 "GO:0004112;GO:0004114" "cyclic-nucleotide phosphodiesterase activity" 0.625834035045274
2046 0.00376089231925272 6 8 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 0.0856001583875177
-2340 0.000922700507727674 3 8 "GO:0004129;GO:0015002;GO:0016675;GO:0016676" "oxidoreductase activity, acting on a heme group of donors" 0.037896627995958
-601 0.425667093103747 5 7 "GO:0004143" "ATP-dependent diacylglycerol kinase activity" 0.761301955006702
-1016 0.255553274312253 4 5 "GO:0004169" "dolichyl-phosphate-mannose-protein mannosyltransferase activity" 0.654535112381049
-113 0.467628992688498 3 169 "GO:0004175" "endopeptidase activity" 0.787072816559463
707 0.0457606968961817 3 32 "GO:0004177" "aminopeptidase activity" 0.335934411759102
-274 0.468137223066672 5 28 "GO:0004180" "carboxypeptidase activity" 0.787072816559463
394 0.378352584402565 2 20 "GO:0004181" "metallocarboxypeptidase activity" 0.73081211250388
286 0.619650436292852 2 12 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.848173109218109
-124 0.636712263195903 2 58 "GO:0004197" "cysteine-type endopeptidase activity" 0.852408734197076
-34 0.949617937217411 6 14 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.991600335767747
-26 0.932231160182787 2 44 "GO:0004222" "metalloendopeptidase activity" 0.986716603776767
65 0.810782490757 2 54 "GO:0004252" "serine-type endopeptidase activity" 0.945757051042256
380 0.477084421132063 5 14 "GO:0004300" "enoyl-CoA hydratase activity" 0.788960056916631
1539 0.0848512733482842 5 5 "GO:0004301;GO:0016803" "epoxide hydrolase activity" 0.415899164436439
1324 0.138379716300793 2 5 "GO:0004303" "estradiol 17-beta-dehydrogenase [NAD(P)+] activity" 0.520054489365725
-1037 0.141899260063632 5 8 "GO:0004308;GO:0016997;GO:0016936" "galactoside binding" 0.524707874833366
-210 0.797286782554953 2 6 "GO:0004312" "fatty acid synthase activity" 0.940972774954771
1201 0.178793403301958 2 5 "GO:0004348" "glucosylceramidase activity" 0.579189898020427
-466 0.419538421315386 2 12 "GO:0004364" "glutathione transferase activity" 0.758134390916837
1060 0.0471389026904203 3 14 "GO:0004383" "guanylate cyclase activity" 0.335934411759102
1473 0.0510362158604269 2 7 "GO:0004385" "GMP kinase activity" 0.336669270592697
82 0.657414868194435 2 119 "GO:0004386;GO:0120545;GO:0070035" "nucleic acid conformation isomerase activity" 0.861078699799089
-317 0.385540810423442 4 30 "GO:0004407;GO:0033558" "protein lysine deacetylase activity" 0.735276835799268
383 0.611891287051191 7 7 "GO:0004435" "phosphatidylinositol-4,5-bisphosphate phospholipase C activity" 0.842724527076491
-29 0.961723386514727 2 11 "GO:0004438;GO:0052744" "phosphatidylinositol-3-phosphate phosphatase activity" 0.992802418753982
798 0.327653740653091 2 6 "GO:0004439;GO:0106019" "phosphatidylinositol-4,5-bisphosphate phosphatase activity" 0.716856179218857
-786 0.335395965459127 2 6 "GO:0004457" "lactate dehydrogenase activity" 0.717702645098127
-2 0.997533735297339 3 9 "GO:0004465" "lipoprotein lipase activity" 0.999711308742872
-128 0.803523038665835 2 15 "GO:0004467;GO:0120515" "fatty acid-CoA ligase activity" 0.94387282376477
309 0.200594196485027 2 69 "GO:0004497" "monooxygenase activity" 0.601430760307578
1195 0.0472437854626106 2 11 "GO:0004498;GO:0005502;GO:0016918;GO:0005503;GO:0008403;GO:0019841;GO:0031073;GO:0016716;GO:0061896;GO:0061897;GO:0061898;GO:0061899;GO:1904768" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen" 0.335934411759102
-618 0.412689634354533 2 7 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.75478849244181
-387 0.607910483382532 3 7 "GO:0004500;GO:0016715" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen" 0.839252167935068
-72 0.65347893590996 3 160 "GO:0004518" "nuclease activity" 0.860825631496511
-143 0.495783578696799 2 92 "GO:0004519" "endonuclease activity" 0.801325863911931
186 0.546210337124079 5 42 "GO:0004520" "DNA endonuclease activity" 0.817470990795318
-561 0.0415091430666564 5 53 "GO:0004521" "RNA endonuclease activity" 0.326955578949691
-1132 0.0890420207141472 3 9 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 0.423133569509377
-1398 0.0863904587621414 2 6 "GO:0004526" "ribonuclease P activity" 0.417432888976734
135 0.565298590808759 2 73 "GO:0004527;GO:0008408;GO:0016796" "exonuclease activity" 0.822974465257298
-262 0.504416597541464 6 26 "GO:0004529;GO:0016895" "DNA exonuclease activity, producing 5'-phosphomonoesters" 0.801666517617161
1103 0.0325280183850237 5 15 "GO:0004535" "poly(A)-specific ribonuclease activity" 0.292161948165349
215 0.398628166631738 2 62 "GO:0004536" "DNA nuclease activity" 0.74991086915414
-257 0.209633779280259 2 96 "GO:0004540" "RNA nuclease activity" 0.611875244092127
-671 0.226105248214322 5 13 "GO:0004549" "tRNA-specific ribonuclease activity" 0.625834035045274
-610 0.271315318092873 2 13 "GO:0004550" "nucleoside diphosphate kinase activity" 0.676620511000958
-597 0.429418233685621 2 7 "GO:0004551" "dinucleotide phosphatase activity" 0.763262702841521
-28 0.893994065388351 4 92 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.970815085171486
209 0.706747142489463 2 13 "GO:0004559;GO:0015923" "mannosidase activity" 0.892730539386766
890 0.238593586200088 6 7 "GO:0004560;GO:0015928;GO:0042806" "alpha-L-fucosidase activity" 0.630764653172646
-322 0.483165503711845 2 19 "GO:0004565;GO:0015925" "galactosidase activity" 0.793124412163327
-489 0.548809649829026 5 6 "GO:0004566;GO:0046574" "glucuronidase activity" 0.817470990795318
1054 0.238092907796107 2 5 "GO:0004568" "chitinase activity" 0.630764653172646
-365 0.605780016346139 3 8 "GO:0004571;GO:0015924" "mannosyl-oligosaccharide 1,2-alpha-mannosidase activity" 0.838323728998869
-1544 0.0838032615860747 5 5 "GO:0004576" "oligosaccharyl transferase activity" 0.41540409837925
-368 0.625913984754908 3 7 "GO:0004596" "protein-N-terminal amino-acid acetyltransferase activity" 0.849004041785547
-226 0.522071891610265 3 32 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.807541053043157
171 0.797781265722523 4 9 "GO:0004602" "glutathione peroxidase activity" 0.940972774954771
-447 0.305224044893772 3 21 "GO:0004622;GO:0120558" "lysophospholipase activity" 0.702266929163561
-263 0.520165196427787 2 24 "GO:0004623" "phospholipase A2 activity" 0.807273921581586
352 0.541218995423173 2 12 "GO:0004629" "phospholipase C activity" 0.814764066644665
392 0.555942412573597 3 9 "GO:0004630" "phospholipase D activity" 0.821357932616788
-2434 0.00643157668831998 3 5 "GO:0004645" "1,4-alpha-oligoglucan phosphorylase activity" 0.111068927965665
-134 0.840372639329076 -1 9 "GO:0004652" "obsolete polynucleotide adenylyltransferase activity" 0.952312463063046
-21 0.969052698045185 2 14 "GO:0004659" "prenyltransferase activity" 0.99768182878421
299 0.00703130776439223 3 341 "GO:0004672" "protein kinase activity" 0.113887379282409
386 0.00454985492924665 4 222 "GO:0004674" "protein serine/threonine kinase activity" 0.093434520868458
1477 0.0981812720003603 6 5 "GO:0004675;GO:0005024" "transforming growth factor beta receptor activity" 0.444620364925091
-180 0.84024768325906 5 5 "GO:0004677" "DNA-dependent protein kinase activity" 0.952312463063046
