gene,signed_logP
Montipora_capitata_HIv3___RNAseq.g44754.t1,-10.8965577093541
Montipora_capitata_HIv3___TS.g7221.t1,-10.8648285628541
Montipora_capitata_HIv3___RNAseq.g30833.t1,10.7216029818501
Montipora_capitata_HIv3___TS.g5814.t1,10.688938784784
Montipora_capitata_HIv3___RNAseq.g23762.t1,10.6821812613119
Montipora_capitata_HIv3___TS.g44069.t1,-10.6601808063047
Montipora_capitata_HIv3___RNAseq.g17872.t1,-10.6122569740656
Montipora_capitata_HIv3___RNAseq.g5395.t1,10.5282513936819
Montipora_capitata_HIv3___TS.g7658.t1,-10.4640570523127
Montipora_capitata_HIv3___TS.g28328.t1,-10.3775441753485
Montipora_capitata_HIv3___TS.g23246.t1,-10.3268948806897
Montipora_capitata_HIv3___RNAseq.g8395.t2b,10.2753503723605
Montipora_capitata_HIv3___RNAseq.g29213.t1,-10.1734362422448
Montipora_capitata_HIv3___TS.g26916.t2,10.1460705836177
Montipora_capitata_HIv3___TS.g19595.t1,-10.1210858591813
Montipora_capitata_HIv3___RNAseq.g18203.t1,10.0489027781516
Montipora_capitata_HIv3___RNAseq.g43228.t1a,-9.95295913385533
Montipora_capitata_HIv3___RNAseq.g38673.t1,9.94257648922021
Montipora_capitata_HIv3___RNAseq.g22865.t1,9.91519410358477
Montipora_capitata_HIv3___RNAseq.g46820.t1,9.71131412499239
Montipora_capitata_HIv3___RNAseq.g16878.t1,9.67513641725983
Montipora_capitata_HIv3___RNAseq.g35299.t1,-9.59588507350138
Montipora_capitata_HIv3___RNAseq.g29906.t1,9.59298873406836
Montipora_capitata_HIv3___RNAseq.g15566.t1,9.45625786869989
Montipora_capitata_HIv3___RNAseq.g38222.t1,9.41871230684442
Montipora_capitata_HIv3___RNAseq.g38223.t1,9.34418579327635
Montipora_capitata_HIv3___RNAseq.g49570.t1,9.28459556932573
Montipora_capitata_HIv3___RNAseq.g19835.t1d,9.20105307013931
Montipora_capitata_HIv3___RNAseq.g29220.t1,9.19909118443152
Montipora_capitata_HIv3___RNAseq.g15886.t1,9.2006167313301
Montipora_capitata_HIv3___RNAseq.g29153.t1,9.16491641071521
Montipora_capitata_HIv3___RNAseq.g41637.t1,-9.12579249636165
Montipora_capitata_HIv3___RNAseq.g24510.t1,-9.05796208081089
Montipora_capitata_HIv3___RNAseq.g26022.t1,9.05637594147234
Montipora_capitata_HIv3___TS.g42432.t1,-9.04168348173017
Montipora_capitata_HIv3___RNAseq.g14946.t1,-9.00870195050286
Montipora_capitata_HIv3___TS.g35066.t1,8.91731480986348
Montipora_capitata_HIv3___RNAseq.g38221.t1,8.90593762289829
Montipora_capitata_HIv3___RNAseq.g20959.t1,-8.90200637442215
Montipora_capitata_HIv3___RNAseq.g50373.t3,-8.88566438738737
Montipora_capitata_HIv3___RNAseq.g2569.t1,-8.72000065916575
Montipora_capitata_HIv3___RNAseq.g23733.t1,8.70653667352213
Montipora_capitata_HIv3___RNAseq.g11548.t1,8.60546188688834
Montipora_capitata_HIv3___RNAseq.g4221.t1,8.60683408869796
Montipora_capitata_HIv3___RNAseq.g16461.t1,8.52502002170817
Montipora_capitata_HIv3___RNAseq.g28726.t1,8.51150609813085
Montipora_capitata_HIv3___RNAseq.g6907.t1,8.45436045585692
Montipora_capitata_HIv3___RNAseq.g7741.t1,8.29669706928924
Montipora_capitata_HIv3___TS.g29616.t1,8.29844502836045
Montipora_capitata_HIv3___RNAseq.g34765.t1,8.27368791407318
Montipora_capitata_HIv3___TS.g14199.t1,-8.20300510199345
Montipora_capitata_HIv3___RNAseq.g8322.t1,-8.17322663130109
Montipora_capitata_HIv3___RNAseq.g45046.t1,8.164839635671
Montipora_capitata_HIv3___RNAseq.g11648.t1,8.15370568892055
Montipora_capitata_HIv3___RNAseq.g7739.t1,8.12704465844358
Montipora_capitata_HIv3___RNAseq.g18955.t1,-8.1163434286927
Montipora_capitata_HIv3___RNAseq.g15650.t1a,8.09562485343046
Montipora_capitata_HIv3___RNAseq.g46469.t1,-8.08393900573398
Montipora_capitata_HIv3___RNAseq.g14772.t1,8.07420894536232
Montipora_capitata_HIv3___TS.g15341.t1,8.05756494499893
Montipora_capitata_HIv3___RNAseq.g26615.t1,-8.0137803168923
Montipora_capitata_HIv3___RNAseq.g1392.t1,7.99965084868828
Montipora_capitata_HIv3___RNAseq.g33991.t1,7.90690336997208
Montipora_capitata_HIv3___RNAseq.g29822.t1,-7.89998209131821
Montipora_capitata_HIv3___TS.g41895.t1,-7.88802177108335
Montipora_capitata_HIv3___RNAseq.g26580.t1,7.8675945739071
Montipora_capitata_HIv3___RNAseq.g21284.t1,-7.86076979558903
Montipora_capitata_HIv3___TS.g12075.t1,7.84842077339232
Montipora_capitata_HIv3___RNAseq.g31229.t1,-7.83248824180258
Montipora_capitata_HIv3___RNAseq.g8836.t1,-7.81510264833342
Montipora_capitata_HIv3___RNAseq.g33966.t1,7.8024982402509
Montipora_capitata_HIv3___RNAseq.g2640.t1a,7.80475866590192
Montipora_capitata_HIv3___RNAseq.g23752.t1,7.77174961486705
Montipora_capitata_HIv3___RNAseq.g24511.t1,-7.75991806026919
Montipora_capitata_HIv3___RNAseq.g23657.t1,-7.75385741352803
Montipora_capitata_HIv3___RNAseq.g32219.t1,-7.73889289999901
Montipora_capitata_HIv3___RNAseq.g3246.t1,-7.73817024929623
Montipora_capitata_HIv3___RNAseq.g8869.t1,-7.70455304799414
Montipora_capitata_HIv3___RNAseq.g50386.t1,-7.69974960718186
Montipora_capitata_HIv3___RNAseq.g25541.t2,7.68720602636677
Montipora_capitata_HIv3___TS.g44066.t2c,7.68213779036516
Montipora_capitata_HIv3___RNAseq.g16474.t1,7.5812571242899
Montipora_capitata_HIv3___TS.g44077.t1,-7.5211445026187
Montipora_capitata_HIv3___RNAseq.g39917.t1,7.50381331474538
Montipora_capitata_HIv3___TS.g5595.t1,7.50521676207144
Montipora_capitata_HIv3___RNAseq.g33457.t1,-7.47699089906705
Montipora_capitata_HIv3___TS.g16502.t1,-7.45595606583105
Montipora_capitata_HIv3___RNAseq.g42365.t1,7.3384843239538
Montipora_capitata_HIv3___RNAseq.g39535.t1,7.33220284779923
Montipora_capitata_HIv3___RNAseq.g36836.t1,7.25631788838551
Montipora_capitata_HIv3___RNAseq.g6602.t1,-7.2391991311492
Montipora_capitata_HIv3___RNAseq.g22618.t1,-7.23480348878208
Montipora_capitata_HIv3___TS.g48039.t2,-7.21917823482688
Montipora_capitata_HIv3___RNAseq.g13558.t1,7.19709433833994
Montipora_capitata_HIv3___RNAseq.g49357.t1,-7.1669299920702
Montipora_capitata_HIv3___RNAseq.g30839.t1,7.12563303880436
Montipora_capitata_HIv3___RNAseq.g35897.t1,7.10380272979991
Montipora_capitata_HIv3___RNAseq.g9192.t1,-7.09290347214821
Montipora_capitata_HIv3___RNAseq.g27546.t1,7.09104215555652
Montipora_capitata_HIv3___TS.g27540.t1,7.08045688965783
Montipora_capitata_HIv3___RNAseq.g45051.t1,-7.07762816214513
Montipora_capitata_HIv3___RNAseq.g24730.t1,6.99035284935126
Montipora_capitata_HIv3___RNAseq.g41387.t1,-6.95662825935943
Montipora_capitata_HIv3___RNAseq.g466.t1a,-6.95404439269285
Montipora_capitata_HIv3___RNAseq.g24139.t1,6.91379957537616
Montipora_capitata_HIv3___RNAseq.g36707.t1,-6.88987271471031
Montipora_capitata_HIv3___RNAseq.g12807.t1,-6.89027177460515
Montipora_capitata_HIv3___RNAseq.g15052.t1,6.88670410835772
Montipora_capitata_HIv3___RNAseq.g34092.t1,-6.88325292979391
Montipora_capitata_HIv3___RNAseq.g41114.t1,-6.84912316000869
Montipora_capitata_HIv3___RNAseq.g31299.t1,-6.82066335075422
Montipora_capitata_HIv3___RNAseq.g3284.t1,-6.80683346727799
Montipora_capitata_HIv3___RNAseq.g40217.t1,6.75096194971647
Montipora_capitata_HIv3___RNAseq.g22626.t1,-6.70047762642569
Montipora_capitata_HIv3___RNAseq.g13680.t1,-6.69431948325228
Montipora_capitata_HIv3___RNAseq.g13092.t1,6.67893865556343
Montipora_capitata_HIv3___TS.g9947.t1,-6.67517742952503
Montipora_capitata_HIv3___RNAseq.g29402.t1,6.65504559654264
Montipora_capitata_HIv3___RNAseq.g44519.t1,-6.62614480357657
Montipora_capitata_HIv3___TS.g45113.t1,-6.62588941711033
Montipora_capitata_HIv3___RNAseq.g26900.t1,6.62135679054933
Montipora_capitata_HIv3___RNAseq.g26933.t1,6.61624878902961
Montipora_capitata_HIv3___RNAseq.g46819.t1,6.6171641625731
Montipora_capitata_HIv3___RNAseq.g30901.t1,-6.56687379474187
Montipora_capitata_HIv3___RNAseq.g9263.t1,-6.51738218976883
Montipora_capitata_HIv3___RNAseq.g12596.t1,6.49891666572529
Montipora_capitata_HIv3___TS.g32687.t1,-6.46921298235718
Montipora_capitata_HIv3___RNAseq.g37557.t1,6.44677937527092
Montipora_capitata_HIv3___TS.g21221.t2,-6.44372660882312
Montipora_capitata_HIv3___RNAseq.g50691.t1,-6.43307773643312
Montipora_capitata_HIv3___RNAseq.g11237.t1,6.42352577939926
Montipora_capitata_HIv3___TS.g40634.t1,-6.4195277482492
Montipora_capitata_HIv3___RNAseq.g19823.t1,6.40153172306471
Montipora_capitata_HIv3___RNAseq.g45306.t1,-6.37482137052358
Montipora_capitata_HIv3___RNAseq.g3374.t1,-6.3561708168563
Montipora_capitata_HIv3___RNAseq.g422.t1,6.34249037725655
Montipora_capitata_HIv3___RNAseq.g42152.t1,6.34041084457195
Montipora_capitata_HIv3___RNAseq.g44960.t2,6.33465167952701
Montipora_capitata_HIv3___RNAseq.g14511.t1,6.31022495262502
Montipora_capitata_HIv3___TS.g32048.t1,6.29646218527726
Montipora_capitata_HIv3___TS.g45925.t1,-6.28384201863784
Montipora_capitata_HIv3___RNAseq.g28101.t1,-6.26290001007474
Montipora_capitata_HIv3___TS.g7322.t1,-6.24537118994347
Montipora_capitata_HIv3___RNAseq.g40065.t1,-6.23427194252865
Montipora_capitata_HIv3___RNAseq.g8859.t1,6.22987329367512
Montipora_capitata_HIv3___RNAseq.g40983.t1,6.21670526936441
Montipora_capitata_HIv3___TS.g26873.t1,-6.18709633996684
Montipora_capitata_HIv3___RNAseq.21467_t,6.15510314981424
Montipora_capitata_HIv3___RNAseq.g2539.t1,6.14004400054994
Montipora_capitata_HIv3___RNAseq.g24836.t1,6.10349220499968
Montipora_capitata_HIv3___RNAseq.g18899.t1c,6.06827941125725
Montipora_capitata_HIv3___RNAseq.g23618.t1,-6.03039089690853
Montipora_capitata_HIv3___RNAseq.g53.t1,-6.02599456436376
Montipora_capitata_HIv3___RNAseq.g13129.t1,-6.02095050936052
Montipora_capitata_HIv3___TS.g3940.t1,6.01512014105251
Montipora_capitata_HIv3___TS.g28995.t1,5.96088157663845
Montipora_capitata_HIv3___RNAseq.g8230.t1,5.95924828482242
Montipora_capitata_HIv3___RNAseq.g24858.t1,5.92360375519398
Montipora_capitata_HIv3___RNAseq.g46377.t1,5.91265481973276
Montipora_capitata_HIv3___RNAseq.g36574.t1,-5.88474174073922
Montipora_capitata_HIv3___RNAseq.g47210.t1,-5.88471722434367
Montipora_capitata_HIv3___RNAseq.g10510.t1,5.87396691536442
Montipora_capitata_HIv3___RNAseq.g8858.t1,5.83685857411551
Montipora_capitata_HIv3___RNAseq.g9026.t1,5.83725126325972
Montipora_capitata_HIv3___TS.g1054.t1,5.83419823970432
Montipora_capitata_HIv3___RNAseq.g47205.t1,-5.83020581141752
Montipora_capitata_HIv3___RNAseq.g11883.t1,5.81157165037693
Montipora_capitata_HIv3___RNAseq.g40061.t1,-5.81043081750291
Montipora_capitata_HIv3___RNAseq.g5439.t1,-5.80022322125805
Montipora_capitata_HIv3___RNAseq.g4151.t1,5.80066696248948
Montipora_capitata_HIv3___TS.g11004.t1,-5.79839716847937
Montipora_capitata_HIv3___RNAseq.g14145.t1,-5.7775238156407
Montipora_capitata_HIv3___RNAseq.g40082.t1,-5.76159577625707
Montipora_capitata_HIv3___RNAseq.g2152.t1,-5.75250107261481
Montipora_capitata_HIv3___RNAseq.g3698.t1,-5.74384264980635
Montipora_capitata_HIv3___RNAseq.g19570.t1,-5.72527397508018
Montipora_capitata_HIv3___TS.g28497.t1,-5.71564939140026
Montipora_capitata_HIv3___RNAseq.g30640.t1,5.68145896366697
Montipora_capitata_HIv3___RNAseq.g2355.t1,5.68049779546864
Montipora_capitata_HIv3___RNAseq.g30915.t1,5.6738204251382
Montipora_capitata_HIv3___RNAseq.g44497.t1,-5.65322466527028
Montipora_capitata_HIv3___RNAseq.g15915.t1,-5.61397022126285
Montipora_capitata_HIv3___RNAseq.g10729.t1,5.6079264994873
Montipora_capitata_HIv3___RNAseq.g8123.t1,5.60920273914827
Montipora_capitata_HIv3___RNAseq.g41630.t1,-5.57117205797262
Montipora_capitata_HIv3___RNAseq.g43081.t1,5.55842087723184
Montipora_capitata_HIv3___RNAseq.g22588.t1,-5.54845224898395
Montipora_capitata_HIv3___RNAseq.g19793.t1,5.53267046300247
Montipora_capitata_HIv3___TS.g23676.t1,5.48388330135933
Montipora_capitata_HIv3___RNAseq.g178.t1,-5.47029299659084
Montipora_capitata_HIv3___RNAseq.g14568.t1,5.46196924601419
Montipora_capitata_HIv3___RNAseq.g4962.t1,-5.46267941095668
Montipora_capitata_HIv3___RNAseq.g40089.t1,-5.46286696399536
Montipora_capitata_HIv3___RNAseq.g12062.t1,5.44090724508949
Montipora_capitata_HIv3___RNAseq.g16637.t1,-5.43436427890426
Montipora_capitata_HIv3___TS.g18509.t1,5.42934504460498
Montipora_capitata_HIv3___RNAseq.g37193.t1,5.41015928164805
Montipora_capitata_HIv3___RNAseq.g29879.t1b,5.39962760755964
