"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","uniprot_acc","uniprot_entry","pident","align_length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","qlen","slen","qcovs","quality_tier","description","source","organism","season","category","short_name"
28.6434594966446,-8.34652274534024,1.43670305809032,-5.80949744509802,6.2660650339747e-09,1.01242959867123e-06,"Montipora_capitata_HIv3___TS.g14199.t1","Q5F4A1","G2E3_CHICK",20.386,363,259,13,1276,2343,400,739,4.82e-07,57.4,2358,742,45,"LOW","G2/M phase-specific E3 ubiquitin-protein ligase","SwissProt","Host","Summer","Other Transport","G2E3_CHICK"
30.7630256986517,-3.44960131408534,0.606593910687003,-5.68683802014838,1.29413096533369e-08,1.90451566586209e-06,"Montipora_capitata_HIv3___TS.g41895.t1","Q505D1","ANR28_MOUSE",28.244,262,169,6,145,927,45,288,2.34e-18,90.1,1056,1053,85,"LOW","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A","SwissProt","Host","Summer","Other Transport","ANR28_MOUSE"
68.127191006671,2.73735257016278,0.484144984999391,5.653993441998,1.56762194355504e-08,2.22005577031123e-06,"Montipora_capitata_HIv3___RNAseq.g2640.t1a","Q61830","MRC1_MOUSE",31.228,285,171,8,400,1197,209,487,4.38e-35,148,2595,1456,46,"LOW","Macrophage mannose receptor 1","SwissProt","Host","Summer","Other Transport","MRC1_MOUSE"
29.5703335675884,-5.55697847486259,1.00293118690166,-5.54073753756693,3.01200367473497e-08,3.97670542312865e-06,"Montipora_capitata_HIv3___TS.g44077.t1","Q5F4A1","G2E3_CHICK",20.492,366,257,15,1276,2349,400,739,2.26e-06,55.1,2364,742,45,"LOW","G2/M phase-specific E3 ubiquitin-protein ligase","SwissProt","Host","Summer","Other Transport","G2E3_CHICK"
359.035800837787,1.10867613371341,0.204064257959525,5.43297559699703,5.54219894856369e-08,7.03585201684418e-06,"Montipora_capitata_HIv3___RNAseq.g36836.t1","Q8VDI9","ALG9_MOUSE",55.24,563,247,3,118,1803,52,610,0,604,1830,611,92,"HIGH","Alpha-1,2-mannosyltransferase ALG9","SwissProt","Host","Summer","Other Transport","ALG9_MOUSE"
985.928475199046,0.968846960190458,0.179130819106464,5.40860006682957,6.35192938949057e-08,7.89039400775159e-06,"Montipora_capitata_HIv3___RNAseq.g13558.t1","O62826","TRPC2_BOVIN",24.88,209,131,5,1420,2007,61,256,5.21e-13,76.3,3171,432,19,"LOW","Short transient receptor potential channel 2 homolog","SwissProt","Host","Summer","Other Transport","TRPC2_BOVIN"
256.7222127877,1.15932081870911,0.219130873024199,5.29054077460404,1.21955228605504e-07,1.43034292229958e-05,"Montipora_capitata_HIv3___RNAseq.g24139.t1","Q924A5","S36A1_RAT",44.366,426,211,4,217,1425,38,460,8.79e-108,331,1449,475,83,"HIGH","Proton-coupled amino acid transporter 1","SwissProt","Host","Summer","H+ ATPase","S36A1_RAT"
99.9040948044922,-2.10906807832782,0.399397478744504,-5.28062441695333,1.28744363772708e-07,1.49616737956817e-05,"Montipora_capitata_HIv3___RNAseq.g12807.t1","P0DP43","CTSRE_MOUSE",29.518,332,208,12,67,1035,617,931,1.45e-39,153,1149,985,84,"LOW","Cation channel sperm-associated auxiliary subunit epsilon","SwissProt","Host","Summer","Other Transport","CTSRE_MOUSE"
108.261760652805,-4.44104823441976,0.863596138689523,-5.14250589535856,2.71097932354188e-07,2.8998693180757e-05,"Montipora_capitata_HIv3___RNAseq.g30901.t1","B1VEI4","MSHA_CORU7",25.837,418,256,21,724,1860,22,424,4.51e-14,79,2601,424,44,"LOW","D-inositol 3-phosphate glycosyltransferase","SwissProt","Host","Summer","Other Transport","MSHA_CORU7"
1182.508819799,-1.23927502182943,0.247772395686987,-5.00166702748847,5.68366941990419e-07,5.58813540199517e-05,"Montipora_capitata_HIv3___TS.g7322.t1","Q1EHB4","SC5AC_HUMAN",37.479,603,351,11,16,1803,5,588,5.57e-107,338,1806,618,99,"MEDIUM","Sodium-coupled monocarboxylate transporter 2","SwissProt","Host","Summer","Na+ Transport","SC5AC_HUMAN"
273.042712652,-1.63839470802929,0.343792521180179,-4.76564964940184,1.88246116244144e-06,0.000162292034172423,"Montipora_capitata_HIv3___RNAseq.g19570.t1","A0AAD9V8N4","A0AAD9V8N4_ACRCE",72.781,169,43,2,1,498,556,724,1.21e-75,250,513,780,97,"HIGH","Glycine betaine transporter OpuD","TrEMBL","Host","Summer","Other Transport","A0AAD9V8N4_ACRCE"
41.1051042791978,6.28783945766881,1.34486336088339,4.67544855526332,2.93311801283459e-06,0.000242034613166226,"Montipora_capitata_HIv3___RNAseq.g19793.t1","Q87PP5","BCCT1_VIBPA",35.963,431,230,7,109,1383,167,557,9.85e-81,268,1803,562,71,"MEDIUM","Glycine betaine/proline/choline/ectoine transporter VP1456","SwissProt","Host","Summer","Other Transport","BCCT1_VIBPA"
20.3974514935128,4.949151021054,1.06618367439385,4.64193097297961,3.4516818109586e-06,0.000279828449972627,"Montipora_capitata_HIv3___RNAseq.g14568.t1","A0AAU9VZL3","A0AAU9VZL3_9CNID",61.429,70,26,1,4,213,5,73,1.7e-20,89,384,96,55,"MEDIUM","PHD-type domain-containing protein","TrEMBL","Host","Summer","Other Transport","A0AAU9VZL3_9CNID"
275.891083323452,1.07531912688759,0.237963461648399,4.51884133571909,6.21789676815041e-06,0.000463433886542307,"Montipora_capitata_HIv3___TS.g4543.t1","O88871","GABR2_RAT",37.584,298,175,3,88,981,457,743,2.61e-57,206,1290,940,69,"MEDIUM","Gamma-aminobutyric acid type B receptor subunit 2","SwissProt","Host","Summer","Other Transport","GABR2_RAT"
217.118427863196,2.89106119278926,0.640580231193547,4.51319140367874,6.38593417126948e-06,0.000474427681759426,"Montipora_capitata_HIv3___RNAseq.g27709.t1","P18433","PTPRA_HUMAN",53.659,41,19,0,3,125,735,775,1.06e-07,57.4,1074,802,11,"LOW","Receptor-type tyrosine-protein phosphatase alpha","SwissProt","Host","Summer","Other Transport","PTPRA_HUMAN"
141.953009619649,-1.30308709292623,0.291749962575544,-4.46645161981404,7.95276364270515e-06,0.000576857957096255,"Montipora_capitata_HIv3___RNAseq.g3112.t1","P20645","MPRD_HUMAN",41.667,72,42,0,589,804,175,246,1.67e-06,52,855,277,25,"LOW","Cation-dependent mannose-6-phosphate receptor","SwissProt","Host","Summer","Other Transport","MPRD_HUMAN"
547.230048105129,1.3814247455365,0.313371282846752,4.40826846987144,1.04200332043469e-05,0.000727356094218838,"Montipora_capitata_HIv3___RNAseq.g49548.t1b","Q90805","CNG1_CHICK",30.879,421,264,12,589,1824,244,646,6.68e-51,196,3444,735,72,"MEDIUM","Cyclic nucleotide-gated channel cone photoreceptor subunit alpha","SwissProt","Host","Summer","Other Transport","CNG1_CHICK"
178.411291357082,2.88878730257899,0.660346743967346,4.37465214899559,1.21626267579555e-05,0.000828960151158002,"Montipora_capitata_HIv3___RNAseq.g36907.t1","Q6PEH9","S39AA_DANRE",44.025,159,81,4,439,900,686,841,4.2e-31,126,918,847,50,"MEDIUM","Zinc transporter ZIP10","SwissProt","Host","Summer","Other Transport","S39AA_DANRE"
434.416316468247,-3.47219408889022,0.82669316251484,-4.20010016573457,2.66796923639464e-05,0.00163077855044704,"Montipora_capitata_HIv3___RNAseq.g24095.t1","P97819","PLPL9_MOUSE",51.864,295,137,2,1564,2433,512,806,1.2e-96,322,2436,807,83,"HIGH","85/88 kDa calcium-independent phospholipase A2","SwissProt","Host","Summer","Other Transport","PLPL9_MOUSE"
12928.8693881226,0.52106643106324,0.125086130580272,4.16566112202866,3.10451570887427e-05,0.00186796446493594,"Montipora_capitata_HIv3___RNAseq.g44814.t1","Q9XTA5","HIF1A_BOVIN",40.548,365,197,6,208,1263,7,364,3.08e-76,265,2181,823,48,"LOW","Hypoxia-inducible factor 1-alpha","SwissProt","Host","Summer","Other Transport","HIF1A_BOVIN"
79.4671775502798,-1.22003471991186,0.293040586890808,-4.16336430682371,3.13592419452981e-05,0.00188196177960029,"Montipora_capitata_HIv3___TS.g46118.t1","A0A3M6USR2","A0A3M6USR2_POCDA",69.444,36,11,0,257,364,3575,3610,1.77e-06,56.6,393,3614,27,"LOW","AAA+ ATPase domain-containing protein","TrEMBL","Host","Summer","Other Transport","A0A3M6USR2_POCDA"
145.098769276402,2.26908604551149,0.548657264198719,4.13570765134287,3.53862461690968e-05,0.00209059739812218,"Montipora_capitata_HIv3___RNAseq.g8250.t1b","Q9UNQ0","ABCG2_HUMAN",50.556,540,260,3,28,1641,60,594,1.64e-179,524,1692,655,95,"HIGH","Broad substrate specificity ATP-binding cassette transporter ABCG2","SwissProt","Host","Summer","Other Transport","ABCG2_HUMAN"
31.723520491827,2.06212254589932,0.507388144728089,4.06419142292814,4.81992579341409e-05,0.00277025834469732,"Montipora_capitata_HIv3___RNAseq.34213_t","O15247","CLIC2_HUMAN",30.769,234,138,3,19,663,12,240,3.35e-16,78.6,696,247,93,"MEDIUM","Chloride intracellular channel protein 2","SwissProt","Host","Summer","Cl- Transport","CLIC2_HUMAN"
286.809675243749,-1.28912468014067,0.322686866067911,-3.994971025159,6.47021654018741e-05,0.00356506018131418,"Montipora_capitata_HIv3___RNAseq.g50170.t1","O75899","GABR2_HUMAN",26.368,603,368,14,379,2049,173,745,1.08e-52,201,2319,941,72,"LOW","Gamma-aminobutyric acid type B receptor subunit 2","SwissProt","Host","Summer","Other Transport","GABR2_HUMAN"
34.5021189785869,4.72057219572963,1.1845146112014,3.98523762483753,6.74126294776523e-05,0.00368219575432898,"Montipora_capitata_HIv3___RNAseq.g27335.t1","A0A2B4SR79","A0A2B4SR79_STYPI",62.632,190,49,3,73,597,217,399,1.81e-62,219,597,1175,88,"HIGH","Iron/zinc purple acid phosphatase-like protein","TrEMBL","Host","Summer","Other Transport","A0A2B4SR79_STYPI"
107.079851424901,2.56105409408742,0.643922739982514,3.97726922046109,6.97112244992173e-05,0.00379876849541136,"Montipora_capitata_HIv3___RNAseq.g13213.t1","A0AAD9VC57","A0AAD9VC57_ACRCE",74.539,271,67,2,124,930,7,277,9.19e-152,436,951,296,85,"HIGH","Phytanoyl-CoA dioxygenase","TrEMBL","Host","Summer","Other Transport","A0AAD9VC57_ACRCE"
847.788339964132,-1.99100974635002,0.505954604475041,-3.93515491061855,8.31430507823763e-05,0.00441613836396967,"Montipora_capitata_HIv3___RNAseq.33535_t","Q8IVG5","SAM9L_HUMAN",26.084,1522,896,61,2338,6591,186,1582,1.19e-83,309,6903,1584,62,"LOW","Sterile alpha motif domain-containing protein 9-like","SwissProt","Host","Summer","Other Transport","SAM9L_HUMAN"
16.814221725716,-3.29424402623934,0.838354258693368,-3.92941765617513,8.51518292921324e-05,0.00449523926717122,"Montipora_capitata_HIv3___RNAseq.g4250.t1","A0AAD9QF79","A0AAD9QF79_ACRCE",84.848,726,42,6,1,1974,1,726,0,1086,1977,726,99,"HIGH","G2/M phase-specific E3 ubiquitin-protein ligase","TrEMBL","Host","Summer","Other Transport","A0AAD9QF79_ACRCE"
213.706906750545,0.908616761529072,0.232200660845748,3.9130670783606,9.11312066614423e-05,0.00477457263018735,"Montipora_capitata_HIv3___TS.g28207.t1a","Q71RS6","NCKX5_HUMAN",40.043,462,254,5,226,1548,39,498,1.18e-122,372,1557,500,85,"HIGH","Sodium/potassium/calcium exchanger 5","SwissProt","Host","Summer","Na+/K+ ATPase","NCKX5_HUMAN"
971.621872374437,-0.890846435324198,0.228192861531752,-3.90391894533582,9.46474905306602e-05,0.00490320688051772,"Montipora_capitata_HIv3___RNAseq.g19323.t1","A1L314","MPEG1_MOUSE",38.579,718,371,15,100,2214,43,703,2.24e-156,474,2241,713,94,"MEDIUM","Macrophage-expressed gene 1 protein","SwissProt","Host","Summer","Other Transport","MPEG1_MOUSE"
124.409089541577,-3.62379181595344,0.930038380479503,-3.89638953833831,9.76373076663055e-05,0.00502318237244521,"Montipora_capitata_HIv3___TS.g13432.t1","F1R8P4","GLRA2_DANRE",34.444,270,165,7,2413,3204,175,438,4.47e-35,143,3207,449,25,"LOW","Glycine receptor subunit alpha-2","SwissProt","Host","Summer","Other Transport","GLRA2_DANRE"
12.6287685587355,6.06725600541965,1.56187105048219,3.88460750555979,0.000102495332962195,0.00522771449909829,"Montipora_capitata_HIv3___TS.g19443.t1","Q4R9C4","G2E3_MACFA",24.839,310,213,9,241,1140,348,647,1.94e-14,79.3,1305,706,69,"LOW","G2/M phase-specific E3 ubiquitin-protein ligase","SwissProt","Host","Summer","Other Transport","G2E3_MACFA"
722.016609804839,-1.87011540901227,0.483271577842668,-3.86969872583962,0.000108969927722497,0.00547336995658325,"Montipora_capitata_HIv3___RNAseq.g41416.t2a","B3EWZ9","HEPHL_ACRMI",54.771,1090,474,10,28,3270,6,1085,0,1250,3474,1114,93,"HIGH","Hephaestin-like protein","SwissProt","Host","Summer","Other Transport","HEPHL_ACRMI"
14.5919207084027,3.12777968504568,0.809158311665922,3.86547309710766,0.000110874070614563,0.00554490346655731,"Montipora_capitata_HIv3___RNAseq.g30993.t1","P30437","CP17A_ONCMY",35.275,309,190,6,34,942,199,503,1.67e-56,194,951,514,96,"MEDIUM","Steroid 17-alpha-hydroxylase/17,20 lyase","SwissProt","Host","Summer","Other Transport","CP17A_ONCMY"
63.5281769555909,-2.82909650605195,0.739315238692248,-3.82664438387101,0.00012990196852673,0.00635886648900446,"Montipora_capitata_HIv3___RNAseq.g20246.t1","Q5F4A1","G2E3_CHICK",34.715,193,121,4,970,1548,389,576,7.21e-22,103,1596,742,36,"LOW","G2/M phase-specific E3 ubiquitin-protein ligase","SwissProt","Host","Summer","Other Transport","G2E3_CHICK"
147.54858353231,1.18509083510329,0.31297249118955,3.78656549206285,0.000152743851394431,0.00729162538526512,"Montipora_capitata_HIv3___RNAseq.g50166.t1","Q9UBS5","GABR1_HUMAN",26.385,758,467,19,22,2136,164,883,1.27e-61,226,2139,961,99,"LOW","Gamma-aminobutyric acid type B receptor subunit 1","SwissProt","Host","Summer","Other Transport","GABR1_HUMAN"
