"Organism","Season","Division","GO_Term","p.adj","z_score","abs_z_score","Direction","Gene_Count","delta.rank"
"Symbiont","Summer","BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",2.35467200419935e-12,-2.43544973570416,2.43544973570416,"Down",204,-1126
"Symbiont","Summer","BP","localization within membrane",2.71271012072873e-10,-1.63017869937577,1.63017869937577,"Down",414,-737
"Symbiont","Summer","CC","small ribosomal subunit",4.21629378975428e-08,-2.35885583250583,2.35885583250583,"Down",85,-1089
"Symbiont","Summer","BP","nucleic acid catabolic process",3.80628435878813e-07,-1.46457026002803,1.46457026002803,"Down",375,-657
"Symbiont","Summer","BP","establishment of protein localization to organelle",5.96483123343495e-07,-1.28861129322105,1.28861129322105,"Down",489,-572
"Symbiont","Summer","BP","obsolete organic cyclic compound catabolic process",7.89944909314239e-07,-1.17061528018579,1.17061528018579,"Down",599,-515
"Symbiont","Summer","CC","rough endoplasmic reticulum membrane",3.93786802915305e-06,-2.44580026316339,2.44580026316339,"Down",60,-1131
"Symbiont","Summer","CC","preribosome",3.70569222314524e-05,-1.30724224264767,1.30724224264767,"Down",197,-581
"Symbiont","Winter","MF","structural constituent of ribosome",3.00170689224345e-41,-3.08816756453608,3.08816756453608,"Down",200,-1815
"Symbiont","Winter","CC","obsolete cytosolic part",3.21461509938045e-36,-2.02243063949685,2.02243063949685,"Down",345,-1167
"Symbiont","Winter","CC","cytosolic ribosome",1.11190752858808e-35,-2.30695608399035,2.30695608399035,"Down",251,-1340
"Symbiont","Winter","BP","cytoplasmic translation",1.91606678838273e-34,-2.7296326113593,2.7296326113593,"Down",275,-1597
"Symbiont","Winter","CC","large ribosomal subunit",1.37222913106189e-32,-2.86120507124069,2.86120507124069,"Down",143,-1677
"Symbiont","Winter","CC","ribosome",1.5351095361437e-30,-1.96322303255022,1.96322303255022,"Down",303,-1131
"Symbiont","Winter","CC","obsolete polysomal ribosome",1.63371525116273e-28,-2.85133713674959,2.85133713674959,"Down",125,-1671
"Symbiont","Winter","MF","structural molecule activity",1.97337194287708e-22,-1.82178263817773,1.82178263817773,"Down",339,-1045
"Symbiont","Winter","CC","obsolete polysome",2.9565197839431e-22,-2.01420736075426,2.01420736075426,"Down",205,-1162
"Symbiont","Winter","BP","amide biosynthetic process",2.3968760663984e-20,-1.43857784877319,1.43857784877319,"Down",684,-812
"Symbiont","Winter","BP","translational initiation",2.77669124222021e-18,-2.29544349375073,2.29544349375073,"Down",212,-1333
"Symbiont","Winter","CC","obsolete intrinsic component of plasma membrane",3.40953630766447e-17,1.23398774256748,1.23398774256748,"Up",332,813
"Symbiont","Winter","BP","establishment of protein localization to membrane",5.25107643145056e-16,-2.09479549243161,2.09479549243161,"Down",226,-1211
"Symbiont","Winter","BP","nucleic acid catabolic process",6.69262323057458e-15,-1.61455601386455,1.61455601386455,"Down",374,-919
"Symbiont","Winter","MF","ATP-dependent activity",2.22869085011382e-14,0.94452833082843,0.94452833082843,"Up",620,637
"Symbiont","Winter","BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",3.50074459914975e-14,-2.07341496770088,2.07341496770088,"Down",204,-1198
"Symbiont","Winter","BP","protein targeting to membrane",1.57175321166148e-13,-2.09972945967716,2.09972945967716,"Down",189,-1214
"Symbiont","Winter","BP","ribonucleoprotein complex biogenesis",1.31117209174463e-12,-1.21326001122632,1.21326001122632,"Down",607,-675
"Symbiont","Winter","MF","mRNA binding",1.98846570089607e-12,-1.17049896176487,1.17049896176487,"Down",507,-649
"Symbiont","Winter","MF","monoatomic ion transmembrane transporter activity",1.22939735168858e-11,0.898477969869944,0.898477969869944,"Up",540,609
