"organism","season","category","gene_id","log2FoldChange","padj","description"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g4250.t1",-3.29424402623934,0.00449523926717122,"G2/M phase-specific E3 ubiquitin-protein ligase"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g47379.t1",3.18915425931709,0.0112586391048828,"M-phase phosphoprotein 6"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g30993.t1",3.12777968504568,0.00554490346655731,"Steroid 17-alpha-hydroxylase/17,20 lyase"
"Host","Winter","Other Transport","Montipora_capitata_HIv3___TS.g20805.t1",3.00450678163792,4.8385672615168e-05,"Collagen alpha-1(VI) chain"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g27709.t1",2.89106119278926,0.000474427681759426,"Receptor-type tyrosine-protein phosphatase alpha"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g36907.t1",2.88878730257899,0.000828960151158002,"Zinc transporter ZIP10"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g13826.t1",-2.86907321436636,0.0170865879116627,"Tubulin alpha-1 chain"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g20246.t1",-2.82909650605195,0.00635886648900446,"G2/M phase-specific E3 ubiquitin-protein ligase"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g2640.t1a",2.73735257016278,2.22005577031123e-06,"Macrophage mannose receptor 1"
"Host","Winter","Other Transport","Montipora_capitata_HIv3___RNAseq.g13058.t1",-2.68889810964999,7.82681224611054e-10,"Monocarboxylate transporter 4"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g13213.t1",2.56105409408742,0.00379876849541136,"Phytanoyl-CoA dioxygenase"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g5348.t1",2.49784947325372,1.62688506403736e-09,"Nephrocystin-3"
"Host","Winter","Other Transport","Montipora_capitata_HIv3___RNAseq.g13057.t1",-2.34370649235345,0.0195355568952092,"Monocarboxylate transporter 4"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___TS.g21895.t1",-2.33688026553966,0.02861024878885,"Tubulin alpha chain"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g8250.t1b",2.26908604551149,0.00209059739812218,"Broad substrate specificity ATP-binding cassette transporter ABCG2"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g12807.t1",-2.10906807832782,1.49616737956817e-05,"Cation channel sperm-associated auxiliary subunit epsilon"
"Host","Winter","Other Transport","Montipora_capitata_HIv3___RNAseq.g3053.t1",-2.09227319220707,0.00503780614605178,"Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g10728.t1",2.07812782673787,0.0450379535173515,"PH domain-containing protein"
"Host","Winter","Other Transport","Montipora_capitata_HIv3___RNAseq.g13056.t1",-2.07477885724909,0.000131162801461534,"Monocarboxylate transporter 8"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g23366.t1",2.00154036886721,0.0396468287437736,"Gamma-aminobutyric acid receptor subunit beta-2"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.33535_t",-1.99100974635002,0.00441613836396967,"Sterile alpha motif domain-containing protein 9-like"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g41416.t2a",-1.87011540901227,0.00547336995658325,"Hephaestin-like protein"
"Host","Winter","Other Transport","Montipora_capitata_HIv3___RNAseq.g40556.t1",1.84234620037434,0.0347033625444896,"Receptor-type tyrosine-protein phosphatase S"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___TS.g1358.t1",1.79889111481468,0.0138107289724693,"Gamma-aminobutyric acid type B receptor subunit 1"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g5395.t1",1.76294232964927,6.84627877321431e-09,"Receptor-type tyrosine-protein phosphatase R"
"Host","Winter","Other Transport","Montipora_capitata_HIv3___RNAseq.g44050.t1",-1.73134810070536,0.0497711721260049,"Myotrophin"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g19570.t1",-1.63839470802929,0.000162292034172423,"Glycine betaine transporter OpuD"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g23464.t1",1.63063564344234,0.026446805944695,"Alpha-1B adrenergic receptor"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___TS.g32593.t2",1.45897127000211,0.0109368894493757,"Zinc transporter ZIP12"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___TS.g41812.t1",-1.45074720868784,0.0177337410673241,"Endonuclease/exonuclease/phosphatase domain-containing protein"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___TS.g2501.t2",1.4494290439262,0.0257293012443206,"Receptor-type tyrosine-protein phosphatase F"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g49548.t1b",1.3814247455365,0.000727356094218838,"Cyclic nucleotide-gated channel cone photoreceptor subunit alpha"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g3112.t1",-1.30308709292623,0.000576857957096255,"Cation-dependent mannose-6-phosphate receptor"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g50170.t1",-1.28912468014067,0.00356506018131418,"Gamma-aminobutyric acid type B receptor subunit 2"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g45106.t1",-1.27574198452715,0.0200805956681284,"G2/M phase-specific E3 ubiquitin-protein ligase"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___TS.g46118.t1",-1.22003471991186,0.00188196177960029,"AAA+ ATPase domain-containing protein"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g30392.t1",1.21224880698174,0.0490206725291077,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g50166.t1",1.18509083510329,0.00729162538526512,"Gamma-aminobutyric acid type B receptor subunit 1"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___TS.g11205.t1",1.17694985351583,0.0192540704947969,"Cytolytic toxin-alpha"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___TS.g40633.t1",-1.17674994168092,0.00879522734039447,"Collagen alpha-6(VI) chain"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g33449.t1",1.15909872327656,0.0158592146374205,"Alkaline phosphatase, tissue-nonspecific isozyme"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g8867.t2",1.1420683636101,0.0337804194502369,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g36836.t1",1.10867613371341,7.03585201684418e-06,"Alpha-1,2-mannosyltransferase ALG9"
"Host","Winter","Other Transport","Montipora_capitata_HIv3___RNAseq.g35621.t1",-1.08868807947773,0.0140735095147637,"Bone morphogenetic protein 1 homolog"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___TS.g4543.t1",1.07531912688759,0.000463433886542307,"Gamma-aminobutyric acid type B receptor subunit 2"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g40166.t1",1.00431918713062,0.0115969558198166,"Gamma-aminobutyric acid type B receptor subunit 2"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g44445.t1",0.996010621571619,0.0372008433373396,"Phospholipid scramblase 2"
"Host","Winter","Other Transport","Montipora_capitata_HIv3___TS.g32593.t2",-0.986791333095719,0.046562945109932,"Zinc transporter ZIP12"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g13558.t1",0.968846960190458,7.89039400775159e-06,"Short transient receptor potential channel 2 homolog"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___TS.g50674.t1",-0.96388806395673,0.0207487887682881,"Haloacid dehalogenase-like hydrolase domain-containing 5"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g6934.t1",0.912379822247632,0.0240166958539513,"Glycerophosphodiester phosphodiesterase 1"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g19323.t1",-0.890846435324198,0.00490320688051772,"Macrophage-expressed gene 1 protein"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g26562.t1",0.883054727750774,0.0104596607228247,"Glycerophosphodiester phosphodiesterase"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g40162.t1",0.872374747608656,0.00956429981998497,"Gamma-aminobutyric acid type B receptor subunit 1"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g34072.t1",-0.700028330437462,0.0284334307713132,"Transient receptor potential cation channel subfamily A member 1"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g44719.t1",-0.668455876401874,0.0290829507730144,"Lysosomal phospholipase A and acyltransferase"
"Host","Winter","Other Transport","Montipora_capitata_HIv3___RNAseq.g401.t1",0.635217212926258,0.0249320357998442,"Collagen alpha-2(I) chain"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g24143.t1",0.559965577440823,0.0477883954977832,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g14155.t1",-0.529510126574535,0.00885925963525562,"Zinc transporter 6-A"
"Host","Summer","Other Transport","Montipora_capitata_HIv3___RNAseq.g44814.t1",0.52106643106324,0.00186796446493594,"Hypoxia-inducible factor 1-alpha"
"Symbiont","Winter","Ca2+ Channel","SCF082_s234_g7964",1.10763189403869,0.0045115600966352,"Voltage-dependent T-type calcium channel subunit alpha-1H"
"Symbiont","Winter","Ca2+ Channel","SCF082_s292_g9467",0.820072868433259,0.00987515759654948,"Voltage-dependent calcium channel type A subunit alpha-1"
"Symbiont","Winter","Ca2+ Channel","SCF082_s1403_g26653",0.572164408652958,0.0300901396139528,"Voltage-dependent T-type calcium channel subunit alpha-1H"
"Symbiont","Winter","Ca2+ Channel","SCF082_s958_g21386",0.527115145990936,0.0279773101875737,"Voltage-dependent T-type calcium channel subunit alpha-1G (Voltage-gated calcium channel subunit alpha Cav3.1)"
"Symbiont","Winter","Ca2+ Channel","SCF082_s3531_g40619",0.456520527837208,0.0388671656690214,"Voltage-dependent N-type calcium channel subunit alpha-1B (Fragment)"
"Symbiont","Winter","Ca2+ Signaling","SCF082_s223_g7737",0.980356346091342,0.0239487565505357,"Calcium-dependent protein kinase 2"
"Symbiont","Winter","Ca2+ Signaling","SCF082_s536_g14548",0.535615479061124,0.00790963073697439,"Calcium-dependent protein kinase 2"
"Symbiont","Winter","Ca2+ Signaling","SCF082_s2992_g38221",0.40907617225345,0.015995005028341,"Calcium-dependent protein kinase 2"
"Symbiont","Winter","Cl- Transport","SCF082_s513_g14125",0.663862429317851,0.0279773101875737,"Chloride channel protein C"
"Symbiont","Winter","K+ Channel","SCF082_s178_g6533",0.89975491470378,0.00281209928447775,"Voltage-gated delayed rectifier potassium channel KCNH8"
"Symbiont","Winter","K+ Channel","SCF082_s179_g6562",0.873593415911138,0.00583260088391211,"Voltage-gated delayed rectifier potassium channel KCNH8"
"Symbiont","Winter","K+ Channel","SCF082_s150_g5717",0.669694434718732,0.0241039320707458,"Potassium channel AKT3"
"Symbiont","Winter","K+ Channel","SCF082_s1725_g29635",0.667943700189014,0.0082927039428131,"Potassium channel GORK (Fragment)"
"Symbiont","Winter","K+ Channel","SCF082_s1311_g25754",0.453510295720573,0.0397500083172973,"Voltage-gated inwardly rectifying potassium channel KCNH6"
"Symbiont","Winter","Na+ Transport","SCF082_s2714_g36669",1.34008856258453,0.00104404901887481,"Sodium channel protein 60E (Drosophila ion channel 60) (Drosophila sodium channel 1) (Protein smell-impaired 60E) (Sodium channel 2) (DmNav2)"
"Symbiont","Winter","Na+ Transport","SCF082_s174_g6404",0.837219321156172,0.0377761240972263,"Sodium channel protein type 11 subunit alpha (NaN) (Sensory neuron sodium channel 2) (Sodium channel protein type XI subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.9)"
"Symbiont","Winter","Na+ Transport","SCF082_s1308_g25717",0.794616581723201,0.00438527108177389,"Sodium channel protein type 5 subunit alpha (Sodium channel protein cardiac muscle subunit alpha) (Sodium channel protein type V subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.5)"
"Symbiont","Winter","Other Transport","SCF082_s251_g8498",1.85621706587079,0.00845567262606107,"Alpha-amylase type B isozyme"
"Symbiont","Winter","Other Transport","SCF082_s2_g130",-1.72386026252321,7.34384189105973e-23,"Sugar phosphate/phosphate translocator"
"Symbiont","Winter","Other Transport","SCF082_s4926_g43716",1.20304337512976,0.00583260088391211,"Probable folate-biopterin transporter 3"
"Symbiont","Winter","Other Transport","SCF082_s1249_g25023",1.09329385233139,0.0196825754570684,"Protein SphX"
"Symbiont","Winter","Other Transport","SCF082_s159_g5966",0.909421924744222,0.0277567579584939,"Probable sugar phosphate/phosphate translocator At3g11320"
